Pk,Tm,Player,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,LAC,Michael Olowokandi,0.435,,0.597,26.3,8.3,6.8,0.7,2.5,0.009
2,VAN,Mike Bibby,0.436,0.379,0.802,33.9,14.7,3.1,5.5,73.2,0.104
3,DEN,Raef LaFrentz,0.466,0.363,0.711,25.8,10.1,6.1,1.1,39.4,0.13
4,TOR,Antawn Jamison,0.451,0.346,0.724,34.8,18.5,7.5,1.6,87.8,0.112
5,GSW,Vince Carter,0.442,0.378,0.799,34.1,20.1,4.9,3.7,115.8,0.141
6,DAL,Robert Traylor,0.474,0.167,0.577,14.3,4.8,3.7,0.7,13.3,0.102
7,SAC,Jason Williams,0.398,0.327,0.813,29.4,10.5,2.3,5.9,38.5,0.08
8,PHI,Larry Hughes,0.406,0.309,0.757,30.8,14.1,4.2,3.1,32.3,0.069
9,MIL,Dirk Nowitzki,0.477,0.384,0.878,35.8,22.5,8.1,2.6,186.2,0.209
10,BOS,Paul Pierce,0.447,0.37,0.807,36,21.2,5.9,3.8,144.1,0.162
11,DET,Bonzi Wells,0.46,0.327,0.697,25.6,12.1,4.6,2.1,29.4,0.093
12,ORL,Michael Doleac,0.439,0.125,0.791,15,4.9,3.3,0.6,12.7,0.07
13,ORL,Keon Clark,0.5,0.053,0.645,22.6,8.2,5.9,0.9,18.2,0.11
14,HOU,Michael Dickerson,0.432,0.402,0.784,35.3,15.4,2.9,2.6,9.6,0.061
15,ORL,Matt Harpring,0.481,0.333,0.753,26.4,11.5,5.1,1.4,41.9,0.114
16,HOU,Bryce Drew,0.382,0.371,0.83,16.3,4.4,1.2,2.2,2.4,0.03
17,MIN,Rasho Nesterovic,0.502,0.077,0.585,22.2,6.8,5.1,1,39.9,0.107
18,HOU,Mirsad Turkcan,0.368,0,0.625,5.3,1.9,1.9,0.3,0,-0.019
19,MIL,Pat Garrity,0.417,0.398,0.806,20,7.3,2.6,0.8,18.7,0.081
20,ATL,Roshown McLeod,0.409,0.111,0.819,18.8,7.2,2.7,1.1,0.2,0.004
21,CHH,Ricky Davis,0.446,0.361,0.781,29.8,13.5,3.5,3.3,28,0.061
22,LAC,Brian Skinner,0.494,0.333,0.566,17.9,4.7,4.7,0.5,15.8,0.07
23,DEN,Tyronn Lue,0.437,0.391,0.829,22.7,8.5,1.7,3.1,19.7,0.075
24,SAS,Felipe Lopez,0.432,0.327,0.659,16.6,5.8,2.4,1,3.1,0.036
25,IND,Al Harrington,0.444,0.352,0.727,28.6,13.5,5.6,1.7,42.5,0.073
26,LAL,Sam Jacobson,0.511,0.36,0.739,11.1,4.2,1.2,0.5,1.1,0.071
27,SEA,Vladimir Stepania,0.425,0.133,0.536,13.8,4.1,4.4,0.3,5.2,0.067
28,CHI,Corey Benjamin,0.39,0.289,0.652,14.3,5.5,1.7,0.9,-0.9,-0.019
29,UTA,Nazr Mohammed,0.487,0,0.64,16.1,5.9,4.8,0.4,34.2,0.104
30,DAL,Ansu Sesay,0.434,0.276,0.64,10.2,3.2,1.8,0.5,1.4,0.051
31,LAL,Ruben Patterson,0.517,0.179,0.641,24.6,10.7,4.2,1.8,35.1,0.106
32,SEA,Rashard Lewis,0.452,0.386,0.805,32,14.9,5.2,1.7,90.9,0.13
33,SEA,Jelani McCoy,0.539,,0.49,14.7,4.6,3.5,0.5,5.1,0.064
34,CHI,Shammond Williams,0.401,0.366,0.798,16.5,5.8,1.6,2.4,8.8,0.079
35,DAL,Bruno Sundov,0.356,0.208,0.526,5.1,1.7,1,0.2,-0.7,-0.062
36,SAC,Jerome James,0.485,0,0.617,13.3,4.3,3.1,0.3,2.9,0.029
37,PHI,Casey Shaw,0.125,,,1.6,0.2,0.3,0,-0.1,-0.498
38,NYK,DeMarco Johnson,0.333,,,7.4,1.2,1.4,0,-0.1,-0.091
39,MIL,Rafer Alston,0.383,0.354,0.729,28.9,10.1,2.8,4.8,32.9,0.081
40,DET,Korleone Young,0.5,0.25,1,5,4.3,1.3,0.3,0.1,0.28
41,HOU,Cuttino Mobley,0.433,0.378,0.835,37,16,3.9,2.7,52.2,0.091
42,ORL,Miles Simon,0.2,0,,3.8,0.4,0.4,0,-0.1,-0.289
43,WAS,Jahidi White,0.51,0,0.534,17.7,5.9,5.8,0.2,10.4,0.085
44,NYK,Sean Marks,0.448,0.2,0.665,9.9,2.8,2.2,0.2,2.6,0.055
45,LAL,Toby Bailey,0.407,0.2,0.692,9.6,3.3,1.7,0.6,1,0.072
46,MIN,Andrae Patterson,0.455,0,0.778,7.6,3,1.7,0.4,0.7,0.114
47,TOR,Tyson Wheeler,1,1,0.5,3,4,0,2,0.1,1.367
48,CLE,Ryan Stack,0.352,0,0.787,9.2,2.3,1.8,0.2,0.2,0.028
49,ATL,Cory Carr,0.329,0.167,0.75,14.9,4.1,1.2,1.6,-1.2,-0.089
50,CHH,Andrew Betts,,,,,,,,,
51,MIA,Corey Brewer,,,,,,,,,
52,SAS,Derrick Dial,0.372,0.19,0.672,8.4,3.1,1.6,0.8,0.6,0.045
53,DAL,Greg Buckner,0.45,0.334,0.757,19.1,5,2.8,1.3,20.9,0.092
54,DEN,Tremaine Fowlkes,0.409,0.2,0.791,12,2.9,2.2,0.5,2.1,0.08
55,DEN,Ryan Bowen,0.456,0.206,0.693,12.8,2.6,2.1,0.5,12.4,0.092
56,VAN,J.R. Henderson,0.365,0.4,0.556,11,3.2,1.6,0.7,-0.2,-0.025
57,UTA,Torraye Braggs,0.475,,0.667,8.1,2.1,2.3,0.3,0.3,0.071
58,CHI,Maceo Baston,0.616,0.375,0.74,7.9,2.7,1.7,0.2,2.3,0.134
