Pk,Tm,Player,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,CLE,LeBron James,0.496,0.341,0.748,39.5,27.5,7.2,6.9,169.2,0.242
2,DET,Darko Milicic,0.46,0,0.574,18.5,6,4.2,0.9,7.1,0.04
3,DEN,Carmelo Anthony,0.455,0.345,0.811,36.5,25.2,6.5,3.1,83.3,0.137
4,TOR,Chris Bosh,0.497,0.312,0.8,35.9,19.2,8.7,2,97.2,0.162
5,MIA,Dwyane Wade,0.492,0.291,0.765,36.6,24.3,5,6,106.2,0.192
6,LAC,Chris Kaman,0.488,0,0.744,28,11.6,7.9,1.3,21.9,0.057
7,CHI,Kirk Hinrich,0.413,0.377,0.8,32.2,11.8,3.1,5.2,51.1,0.098
8,MIL,T.J. Ford,0.433,0.289,0.815,27.7,11.2,3.1,5.8,16.9,0.068
9,NYK,Mike Sweetney,0.485,0,0.689,15.5,6.5,4.5,0.6,7.8,0.103
10,WAS,Jarvis Hayes,0.415,0.356,0.798,23.2,8.3,3.1,1.1,10.2,0.049
11,GSW,Mickael Pietrus,0.425,0.355,0.665,21.5,8.3,3.1,0.8,19.7,0.079
12,SEA,Nick Collison,0.54,0.211,0.728,22.1,6.5,5.6,1.1,41.3,0.118
13,MEM,Marcus Banks,0.432,0.327,0.768,16,5.9,1.5,2.1,6.6,0.057
14,SEA,Luke Ridnour,0.431,0.349,0.862,26.7,9.6,2.3,4.6,35.6,0.081
15,ORL,Reece Gaines,0.324,0.269,0.606,8.5,1.7,0.7,0.7,-0.6,-0.049
16,BOS,Troy Bell,0.222,0,1,5.7,1.8,0.7,0.7,-0.2,-0.326
17,PHO,Zarko Cabarkapa,0.427,0.273,0.733,10.3,4.3,2.1,0.6,1.1,0.035
18,NOH,David West,0.491,0.256,0.825,32,15.9,7.2,2.2,70.1,0.14
19,UTA,Sasha Pavlovic,0.404,0.346,0.673,15.7,4.9,1.8,0.9,7,0.038
20,BOS,Dahntay Jones,0.441,0.334,0.751,16.3,5.6,1.8,0.9,9.7,0.049
21,ATL,Boris Diaw,0.497,0.341,0.711,28.9,9.1,4.7,3.7,43.3,0.086
22,NJN,Zoran Planinic,0.405,0.289,0.677,10.7,3.8,1.3,1.1,1.5,0.046
23,POR,Travis Outlaw,0.423,0.337,0.744,20.9,8.5,3.2,0.8,16.5,0.061
24,LAL,Brian Cook,0.439,0.382,0.783,13.4,5.5,2.6,0.6,10.2,0.086
25,DET,Carlos Delfino,0.401,0.365,0.758,22.8,8.1,3.6,1.7,22.5,0.093
26,MIN,Ndudi Ebi,0.486,0,0.462,4.5,2.1,1,0.2,0.1,0.051
27,MEM,Kendrick Perkins,0.536,0,0.602,22.8,5.7,6,1.1,28.2,0.086
28,SAS,Leandro Barbosa,0.46,0.389,0.82,23.6,11.8,2.2,2.3,32.2,0.1
29,DAL,Josh Howard,0.448,0.332,0.77,30.3,14.3,5.7,1.6,38,0.119
30,NYK,Maciej Lampe,0.407,0.25,0.676,9.9,3.4,2.2,0.3,-0.2,-0.014
31,CLE,Jason Kapono,0.442,0.434,0.835,17.8,6.7,1.7,0.8,10.3,0.055
32,LAL,Luke Walton,0.429,0.326,0.715,17.2,4.7,2.8,2.3,13.5,0.067
33,MIA,Jerome Beasley,0.333,,,2.5,1,0.5,0,0,-0.117
34,LAC,Sofoklis Schortsanitis,,,,,,,,,
35,MIL,Szymon Szewczyk,,,,,,,,,
36,CHI,Mario Austin,,,,,,,,,
37,ATL,Travis Hansen,0.354,0.3,0.815,12.4,3,1.7,0.5,0.2,0.019
38,WAS,Steve Blake,0.403,0.388,0.783,25,6.9,2.2,4,26.1,0.068
39,NYK,Slavko Vranes,0,,,3,0,0,0,0,-0.371
40,GSW,Derrick Zimmerman,0.667,,,16,2,2,3.5,0,0.004
41,SEA,Willie Green,0.428,0.346,0.764,20.3,8.4,1.8,1.4,13.1,0.045
42,ORL,Zaza Pachulia,0.461,0,0.74,20.7,6.8,5.5,1.1,32.3,0.1
43,MIL,Keith Bogans,0.394,0.353,0.716,21.6,6.3,2.7,1.3,20.4,0.068
44,HOU,Malick Badiane,,,,,,,,,
45,CHI,Matt Bonner,0.466,0.416,0.777,17.7,6.2,3.2,0.7,35.5,0.139
46,DEN,Sani Becirovic,,,,,,,,,
47,UTA,Mo Williams,0.438,0.383,0.869,29.7,13.3,2.8,4.9,36.7,0.083
48,NOH,James Lang,0.444,,0.6,5,1,1,0.2,0.1,0.047
49,IND,James Jones,0.401,0.403,0.848,17.2,5.7,2,0.6,21.6,0.108
50,PHI,Paccelis Morlende,,,,,,,,,
51,NJN,Kyle Korver,0.439,0.427,0.88,25.7,9.9,3,1.7,51.1,0.117
52,TOR,Remon Van de Hare,,,,,,,,,
53,CHI,Tommy Smith,,,,,,,,,
54,POR,Nedzad Sinanovic,,,,,,,,,
55,MIN,Rick Rickert,,,,,,,,,
56,BOS,Brandon Hunter,0.476,0,0.488,9.4,3.3,2.8,0.3,0.7,0.055
57,DAL,Xue Yuyang,,,,,,,,,
58,DET,Andreas Glyniadakis,0.471,,0.5,6.2,1.3,0.6,0.1,-0.2,-0.143
