Pk,Tm,Player,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,CLE,Anthony Bennett,0.378,0.245,0.636,12.6,4.3,2.9,0.3,-0.2,-0.012
2,ORL,Victor Oladipo,0.419,0.327,0.78,31.1,13.8,4.1,4.1,1.3,0.026
3,WAS,Otto Porter,0.413,0.267,0.741,11.4,3.2,1.8,0.4,0.5,0.047
4,CHA,Cody Zeller,0.439,0,0.742,17.8,6.2,4.4,1.1,3.1,0.093
5,PHO,Alex Len,0.427,,0.69,10.1,2.3,2.7,0.2,0.5,0.048
6,NOH,Nerlens Noel,0.422,,0.25,28.5,6.8,5.8,2.2,-0.2,-0.063
7,SAC,Ben McLemore,0.383,0.333,0.808,27,8.9,2.9,1,1.2,0.024
8,DET,Kentavious Caldwell-Pope,0.394,0.329,0.722,21.2,6.6,2.1,0.7,2,0.052
9,MIN,Trey Burke,0.373,0.317,0.891,32.2,12.4,2.9,5.6,0.7,0.012
10,POR,C.J. McCollum,0.41,0.394,0.717,12.6,5.2,1.2,0.8,0.4,0.036
11,PHI,Michael Carter-Williams,0.404,0.264,0.7,34.4,16.7,6.3,6.3,1.2,0.023
12,OKC,Steven Adams,0.498,0,0.583,16.1,3.8,4.4,0.6,3.1,0.102
13,DAL,Kelly Olynyk,0.481,0.371,0.809,20.7,9.1,5.3,1.6,3.6,0.108
14,UTA,Shabazz Muhammad,0.469,0.357,0.589,8.5,4.3,1.6,0.2,0.4,0.053
15,MIL,Giannis Antetokounmpo,0.427,0.347,0.689,24.6,7.2,4.5,1.9,1.8,0.041
16,BOS,Lucas Nogueira,,,,,,,,,
17,ATL,Dennis Schröder,0.414,0.239,0.721,13.3,4.2,1.3,1.9,-0.3,-0.017
18,ATL,Shane Larkin,0.385,0.327,0.722,12.6,3.3,1.1,1.7,0.1,0.005
19,CLE,Sergey Karasev,0.333,0.2,0.917,6.5,1.5,0.8,0.3,-0.1,-0.038
20,CHI,Tony Snell,0.384,0.324,0.783,15.6,4.4,1.6,0.8,1.8,0.064
21,UTA,Gorgui Dieng,0.504,0.5,0.667,14.1,5.1,5.1,0.6,2.8,0.141
22,BRK,Mason Plumlee,0.634,0,0.62,18,7.3,4.6,0.8,5.1,0.174
23,IND,Solomon Hill,0.417,0.333,0.75,14.2,4.1,2.4,0.7,1,0.087
24,NYK,Tim Hardaway,0.426,0.366,0.829,22.7,10.2,1.4,0.9,3.4,0.081
25,LAC,Reggie Bullock,0.372,0.338,0.778,9.4,2.9,1.3,0.3,0.3,0.031
26,MIN,Andre Roberson,0.5,0.125,0.75,11.8,2.3,2.7,0.6,1,0.095
27,DEN,Rudy Gobert,0.51,0,0.543,10.6,2.7,3.6,0.2,0.8,0.063
28,SAS,Livio Jean-Charles,,,,,,,,,
29,OKC,Archie Goodwin,0.45,0.139,0.678,10.1,3.6,1.6,0.4,0.2,0.018
30,PHO,Nemanja Nedovic,0.205,0.167,0.875,5.9,1.1,0.6,0.5,-0.4,-0.132
31,CLE,Allen Crabbe,0.37,0.4,0.833,7.5,2.5,0.8,0.4,0.2,0.051
32,OKC,Alex Abrines,,,,,,,,,
33,CLE,Carrick Felix,0.5,0.4,0.75,5.4,2.7,0.9,0.6,0,0.057
34,HOU,Isaiah Canaan,0.393,0.364,0.718,14.6,5.8,1.3,1.1,0.6,0.065
35,PHI,Glen Rice,0.269,0.25,0.692,9.5,2.7,1.5,0.6,-0.2,-0.068
36,SAC,Ray McCallum,0.378,0.364,0.733,18.4,5.8,1.6,2.4,0.4,0.021
37,DET,Tony Mitchell,0.417,1,0.579,3.8,1,1.2,0.1,0.2,0.151
38,WAS,Nate Wolters,0.436,0.281,0.656,22.3,7.1,2.5,3.2,1.2,0.041
39,POR,Jeff Withey,0.531,0,0.712,11.5,3.2,2.5,0.4,1.8,0.127
40,POR,Grant Jerrett,,,,,,,,,
41,MEM,Jamaal Franklin,0.41,0.455,1,7.7,1.9,1.1,0.3,0,-0.002
42,PHI,Pierre Jackson,,,,,,,,,
43,MIL,Ricky Ledo,0.353,0.375,1,3,1.7,0.2,0.2,0,0.024
44,DAL,Mike Muscala,0.421,0,1,10.6,3.8,2.6,0.3,0.2,0.047
45,POR,Marko Todorovic,,,,,,,,,
46,UTA,Erick Green,,,,,,,,,
47,ATL,Raul Neto,,,,,,,,,
48,LAL,Ryan Kelly,0.424,0.338,0.815,22,7.9,3.7,1.6,2.2,0.08
49,CHI,Erik Murphy,0.231,0,,2.6,0.3,0.3,0.1,-0.1,-0.055
50,ATL,James Ennis,,,,,,,,,
51,ORL,Romero Osby,,,,,,,,,
52,MIN,Lorenzo Brown,0.302,0.1,0.692,8.6,2.5,1.1,1.6,-0.3,-0.068
53,IND,Colton Iverson,,,,,,,,,
54,WAS,Arsalan Kazemi,,,,,,,,,
55,MEM,Joffrey Lauvergne,,,,,,,,,
56,DET,Peyton Siva,0.316,0.28,0.733,9.3,2.3,0.6,1.4,-0.2,-0.032
57,PHO,Alex Oriakhi,,,,,,,,,
58,SAS,Deshaun Thomas,,,,,,,,,
59,MIN,Bojan Dubljevic,,,,,,,,,
60,MEM,Janis Timma,,,,,,,,, 
