Pk,Tm,Player,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,RTG,RTG_exp,RTG_diff,PTS_exp,TRB_exp,AST_exp
12,LAC,Yaroslav Korolev,0.283,0.25,0.625,4.9,1.1,0.5,0.4,-0.1,-0.024,2,11.125,-9.125,6.512,3.496,1.117
14,SEA,Rich King,0.393,0,0.662,4.3,1.9,1,0.3,0.2,0.036,3.2,12.538,-9.338,7.938,3.233,1.367
15,ORL,Reece Gaines,0.324,0.269,0.606,8.5,1.7,0.7,0.7,-0.6,-0.049,3.1,12.496,-9.396,7.474,3.539,1.483
10,POR,C.J. McCollum,0.41,0.394,0.717,12.6,5.2,1.2,0.8,0.4,0.036,7.2,16.679,-9.479,10.442,4.133,2.104
21,OKC,Craig Brackins,0.265,0.214,0.5,7.1,1.8,1.1,0.5,-0.2,-0.089,3.4,12.896,-9.496,7.538,3.346,2.013
9,NJN,Ed O'Bannon,0.367,0.222,0.755,16.1,5,2.5,0.8,1.1,0.025,8.3,17.971,-9.671,10.925,4.988,2.058
2,DET,Darko Milicic,0.46,0,0.574,18.5,6,4.2,0.9,7.1,0.04,11.1,20.838,-9.738,12.367,5.779,2.692
4,CHA,Cody Zeller,0.439,0,0.742,17.8,6.2,4.4,1.1,3.1,0.093,11.7,21.496,-9.796,13.212,5.262,3.021
18,UTA,Luther Wright,0.348,0,0.75,6.1,1.3,0.7,0,-0.1,-0.064,2,11.804,-9.804,7.175,3.387,1.242
7,SAC,Bobby Hurley,0.353,0.272,0.769,15.5,3.8,1.1,3.3,-1.2,-0.014,8.2,18.192,-9.992,11.237,4.417,2.538
13,MIL,Marcus Haislip,0.437,0.35,0.659,9.6,3.5,1.5,0.2,0.5,0.026,5.2,15.362,-10.162,9.5,3.925,1.938
21,BOS,Joseph Forte,0.234,0,0.8,5,1.2,0.7,0.7,-0.4,-0.166,2.6,12.896,-10.296,7.538,3.346,2.013
24,CLE,Jared Cunningham,0.341,0.273,0.8,5.3,2,0.4,0.5,0.1,0.052,2.9,13.229,-10.329,8.112,3.096,2.021
21,UTA,Pavel Podkolzin,0,,0.5,4.7,0.7,1.5,0,-0.1,-0.163,2.2,12.896,-10.696,7.538,3.346,2.013
5,SAC,Thomas Robinson,0.454,0,0.532,13.5,4.6,4.4,0.5,1.6,0.039,9.5,20.492,-10.992,12.658,5.133,2.7
3,CHA,Adam Morrison,0.373,0.331,0.71,20.4,7.5,2.1,1.4,-1.4,-0.021,11,22.071,-11.071,14.062,4.875,3.133
10,CLE,Luke Jackson,0.357,0.36,0.732,9.9,3.5,1.2,0.8,0.2,0.01,5.5,16.679,-11.179,10.442,4.133,2.104
5,ATL,Shelden Williams,0.462,0.222,0.74,15.5,4.5,4.3,0.5,9.9,0.085,9.3,20.492,-11.192,12.658,5.133,2.7
1,LAC,Michael Olowokandi,0.435,,0.597,26.3,8.3,6.8,0.7,2.5,0.009,15.8,27.029,-11.229,16.708,7.358,2.962
16,HOU,Royce White,0,,,3,0,0,0,0,-0.121,0,11.248,-11.248,6.778,3.061,1.409
5,TOR,Jonathan Bender,0.417,0.34,0.763,14.7,5.5,2.2,0.6,3.8,0.047,8.3,20.492,-12.192,12.658,5.133,2.7
1,POR,Greg Oden,0.574,,0.658,19.3,8,6.2,0.5,7.3,0.174,14.7,27.029,-12.329,16.708,7.358,2.962
10,SEA,Mouhamed Sene,0.427,,0.589,5.5,2.2,1.6,0,0.3,0.052,3.8,16.679,-12.879,10.442,4.133,2.104
1,WAS,Kwame Brown,0.492,0.111,0.57,22.1,6.6,5.5,0.9,20.8,0.074,13,27.029,-14.029,16.708,7.358,2.962
9,GSW,Patrick O'Bryant,0.494,0,0.583,5.8,2.1,1.4,0.3,0.5,0.046,3.8,17.971,-14.171,10.925,4.988,2.058
5,DEN,Nikoloz Tskitishvili,0.304,0.235,0.73,11.3,2.9,1.8,0.7,-1.6,-0.039,5.4,20.492,-15.092,12.658,5.133,2.7
5,PHO,Alex Len,0.427,,0.69,10.1,2.3,2.7,0.2,0.5,0.048,5.2,20.492,-15.292,12.658,5.133,2.7
2,MEM,Hasheem Thabeet,0.567,,0.578,10.5,2.2,2.7,0.1,4.8,0.099,5,20.838,-15.838,12.367,5.779,2.692
3,WAS,Otto Porter,0.413,0.267,0.741,11.4,3.2,1.8,0.4,0.5,0.047,5.4,22.071,-16.671,14.062,4.875,3.133
1,CLE,Anthony Bennett,0.378,0.245,0.636,12.6,4.3,2.9,0.3,-0.2,-0.012,7.5,27.029,-19.529,16.708,7.358,2.962
11,ORL,Fran Vazquez,,,,,,,,,,,13.465,,8.122,3.613,1.73
15,NYK,Frederic Weis,,,,,,,,,,,12.496,,7.474,3.539,1.483
16,BOS,Lucas Nogueira,,,,,,,,,,,11.248,,6.778,3.061,1.409
25,GSW,Shaun Vandiver,,,,,,,,,,,10.217,,6.165,2.896,1.157
28,DAL,Deon Thomas,,,,,,,,,,,9.773,,5.891,2.359,1.523
28,SAS,Livio Jean-Charles,,,,,,,,,,,9.773,,5.891,2.359,1.523
29,MIA,George Ackles,,,,,,,,,,,9.175,,5.27,2.79,1.115
29,MIN,Sherron Mills,,,,,,,,,,,9.175,,5.27,2.79,1.115
29,HOU,Serge Zwikker,,,,,,,,,,,9.175,,5.27,2.79,1.115
29,GSW,Steve Logan,,,,,,,,,,,9.175,,5.27,2.79,1.115
30,MIA,Mark Sanford,,,,,,,,,,,10.477,,6.064,3.164,1.25
30,PHI,Petteri Koponen,,,,,,,,,,,10.477,,6.064,3.164,1.25
31,ORL,Rodney Dent,,,,,,,,,,,8.352,,5.119,2.314,0.919
31,LAC,Rico Hill,,,,,,,,,,,8.352,,5.119,2.314,0.919
31,NJN,Tibor Pleiss,,,,,,,,,,,8.352,,5.119,2.314,0.919
32,PHI,Ryan Minor,,,,,,,,,,,6.69,,4.033,1.667,0.99
32,WAS,Tomas Satoransky,,,,,,,,,,,6.69,,4.033,1.667,0.99
32,OKC,Alex Abrines,,,,,,,,,,,6.69,,4.033,1.667,0.99
34,DAL,Shawn Harvey,,,,,,,,,,,8.695,,5.024,2.252,1.419
34,LAC,Sofoklis Schortsanitis,,,,,,,,,,,8.695,,5.024,2.252,1.419
34,DEN,Sergio Llull,,,,,,,,,,,8.695,,5.024,2.252,1.419
35,SEA,Joseph Blair,,,,,,,,,,,7.658,,4.089,2.642,0.926
35,NYK,Milos Vujanic,,,,,,,,,,,7.658,,4.089,2.642,0.926
35,MIL,Szymon Szewczyk,,,,,,,,,,,7.658,,4.089,2.642,0.926
35,POR,Ricky Sanchez,,,,,,,,,,,7.658,,4.089,2.642,0.926
35,WAS,Nemanja Bjelica,,,,,,,,,,,7.658,,4.089,2.642,0.926
36,NJN,John Best,,,,,,,,,,,7.921,,4.574,2.463,0.884
36,BOS,Andrei Fetisov,,,,,,,,,,,7.921,,4.574,2.463,0.884
36,LAC,Doron Sheffer,,,,,,,,,,,7.921,,4.574,2.463,0.884
36,CHI,Mario Austin,,,,,,,,,,,7.921,,4.574,2.463,0.884
36,DET,Terrico White,,,,,,,,,,,7.921,,4.574,2.463,0.884
38,LAC,Joe Wylie,,,,,,,,,,,7.758,,4.321,2.068,1.368
38,WSB,Conrad McRae,,,,,,,,,,,7.758,,4.321,2.068,1.368
38,MIL,Rashard Griffith,,,,,,,,,,,7.758,,4.321,2.068,1.368
38,NYK,Michael Wright,,,,,,,,,,,7.758,,4.321,2.068,1.368
38,WAS,Rod Grizzard,,,,,,,,,,,7.758,,4.321,2.068,1.368
39,IND,Thomas Hill,,,,,,,,,,,8.325,,4.965,2.1,1.26
39,PHO,Russ Millard,,,,,,,,,,,8.325,,4.965,2.1,1.26
39,TOR,Albert Miralles,,,,,,,,,,,8.325,,4.965,2.1,1.26
39,MIA,Stanko Barac,,,,,,,,,,,8.325,,4.965,2.1,1.26
40,NJN,Steve Rogers,,,,,,,,,,,8.742,,5.289,2.1,1.353
40,GSW,Marcus Mann,,,,,,,,,,,8.742,,5.289,2.1,1.353
40,SEA,Eddie Elisma,,,,,,,,,,,8.742,,5.289,2.1,1.353
40,SEA,Denham Brown,,,,,,,,,,,8.742,,5.289,2.1,1.353
40,POR,Grant Jerrett,,,,,,,,,,,8.742,,5.289,2.1,1.353
41,CHI,Anthony Reed,,,,,,,,,,,8.253,,5.021,2.216,1.016
41,IND,William Njoku,,,,,,,,,,,8.253,,5.021,2.216,1.016
41,HOU,Erik Meek,,,,,,,,,,,8.253,,5.021,2.216,1.016
41,SAS,Chris Carrawell,,,,,,,,,,,8.253,,5.021,2.216,1.016
41,SEA,David Young,,,,,,,,,,,8.253,,5.021,2.216,1.016
42,SAC,Steve Hood,,,,,,,,,,,8.98,,5.233,2.573,1.173
42,CLE,Gary Collier,,,,,,,,,,,8.98,,5.233,2.573,1.173
42,MIN,Louis Bullock,,,,,,,,,,,8.98,,5.233,2.573,1.173
42,NYK,Eric Chenowith,,,,,,,,,,,8.98,,5.233,2.573,1.173
42,POR,Jason Jennings,,,,,,,,,,,8.98,,5.233,2.573,1.173
42,ATL,Viktor Sanikidze,,,,,,,,,,,8.98,,5.233,2.573,1.173
42,MIA,Da'Sean Butler,,,,,,,,,,,8.98,,5.233,2.573,1.173
42,IND,Davis Bertans,,,,,,,,,,,8.98,,5.233,2.573,1.173
42,PHI,Pierre Jackson,,,,,,,,,,,8.98,,5.233,2.573,1.173
43,MIN,Gordon Malone,,,,,,,,,,,9.238,,5.857,2.381,1
43,DAL,Kyle Hill,,,,,,,,,,,9.238,,5.857,2.381,1
43,NOK,Adam Haluska,,,,,,,,,,,9.238,,5.857,2.381,1
44,PHI,Alvaro Teheran,,,,,,,,,,,7.025,,4.15,2,0.875
44,SAS,Henry Williams,,,,,,,,,,,7.025,,4.15,2,0.875
44,SAC,Alex Holcombe,,,,,,,,,,,7.025,,4.15,2,0.875
44,IND,Damon Bailey,,,,,,,,,,,7.025,,4.15,2,0.875
44,DEN,Anthony Pelle,,,,,,,,,,,7.025,,4.15,2,0.875
44,HOU,Tyrone Washington,,,,,,,,,,,7.025,,4.15,2,0.875
44,PHI,Sam Clancy,,,,,,,,,,,7.025,,4.15,2,0.875
44,HOU,Malick Badiane,,,,,,,,,,,7.025,,4.15,2,0.875
44,NOH,Tim Pickett,,,,,,,,,,,7.025,,4.15,2,0.875
44,ORL,Lior Eliyahu,,,,,,,,,,,7.025,,4.15,2,0.875
44,ORL,Reyshawn Terry,,,,,,,,,,,7.025,,4.15,2,0.875
44,UTA,Ante Tomic,,,,,,,,,,,7.025,,4.15,2,0.875
45,ATL,Troy Brown,,,,,,,,,,,9.937,,6.037,2.605,1.295
45,SEA,Joe Vogel,,,,,,,,,,,9.937,,6.037,2.605,1.295
45,LAC,Jared Jordan,,,,,,,,,,,9.937,,6.037,2.605,1.295
45,MIN,Paulao Prestes,,,,,,,,,,,9.937,,6.037,2.605,1.295
45,POR,Marko Todorovic,,,,,,,,,,,9.937,,6.037,2.605,1.295
46,MIA,George Banks,,,,,,,,,,,7.169,,4.512,1.931,0.725
46,NYK,J.R. Koch,,,,,,,,,,,7.169,,4.512,1.931,0.725
46,TOR,DeeAndre Hulett,,,,,,,,,,,7.169,,4.512,1.931,0.725
46,DEN,Ousmane Cisse,,,,,,,,,,,7.169,,4.512,1.931,0.725
46,DEN,Sani Becirovic,,,,,,,,,,,7.169,,4.512,1.931,0.725
46,IND,Erazem Lorbek,,,,,,,,,,,7.169,,4.512,1.931,0.725
46,SEA,Trent Plaisted,,,,,,,,,,,7.169,,4.512,1.931,0.725
46,UTA,Erick Green,,,,,,,,,,,7.169,,4.512,1.931,0.725
47,HOU,Keith Hughes,,,,,,,,,,,9.472,,5.578,2.417,1.478
47,SEA,Ron Riley,,,,,,,,,,,9.472,,5.578,2.417,1.478
47,SEA,Josip Sesar,,,,,,,,,,,9.472,,5.578,2.417,1.478
47,MIN,Henk Norel,,,,,,,,,,,9.472,,5.578,2.417,1.478
47,MIL,Tiny Gallon,,,,,,,,,,,9.472,,5.578,2.417,1.478
47,ATL,Raul Neto,,,,,,,,,,,9.472,,5.578,2.417,1.478
48,DET,Jevon Crudup,,,,,,,,,,,8.8,,4.912,2.988,0.9
48,MIL,Galen Young,,,,,,,,,,,8.8,,4.912,2.988,0.9
48,PHI,Mark Karcher,,,,,,,,,,,8.8,,4.912,2.988,0.9
48,SEA,Peter Fehse,,,,,,,,,,,8.8,,4.912,2.988,0.9
48,SAC,Ricky Minard,,,,,,,,,,,8.8,,4.912,2.988,0.9
48,WAS,Vladimir Veremeenko,,,,,,,,,,,8.8,,4.912,2.988,0.9
48,MIA,Latavious Williams,,,,,,,,,,,8.8,,4.912,2.988,0.9
49,DAL,Phil Henderson,,,,,,,,,,,7.18,,4.033,2.207,0.94
49,PHO,Ron Ellis,,,,,,,,,,,7.18,,4.033,2.207,0.94
49,PHO,Mark Buford,,,,,,,,,,,7.18,,4.033,2.207,0.94
49,CHI,Kris Bruton,,,,,,,,,,,7.18,,4.033,2.207,0.94
49,ATL,Alain Digbeu,,,,,,,,,,,7.18,,4.033,2.207,0.94
49,MEM,Sergei Lishouk,,,,,,,,,,,7.18,,4.033,2.207,0.94
49,GSW,Richard Hendrix,,,,,,,,,,,7.18,,4.033,2.207,0.94
49,ATL,Sergiy Gladyr,,,,,,,,,,,7.18,,4.033,2.207,0.94
49,SAS,Ryan Richards,,,,,,,,,,,7.18,,4.033,2.207,0.94
50,PHO,Joey Wright,,,,,,,,,,,6.133,,3.592,2.033,0.508
50,HOU,Marcelo Nicola,,,,,,,,,,,6.133,,3.592,2.033,0.508
50,HOU,Terrell Bell,,,,,,,,,,,6.133,,3.592,2.033,0.508
50,CHH,Andrew Betts,,,,,,,,,,,6.133,,3.592,2.033,0.508
50,HOU,Venson Hamilton,,,,,,,,,,,6.133,,3.592,2.033,0.508
50,POR,Federico Kammerichs,,,,,,,,,,,6.133,,3.592,2.033,0.508
50,PHI,Paccelis Morlende,,,,,,,,,,,6.133,,3.592,2.033,0.508
50,DAL,Renaldas Seibutis,,,,,,,,,,,6.133,,3.592,2.033,0.508
50,SEA,DeVon Hardin,,,,,,,,,,,6.133,,3.592,2.033,0.508
50,UTA,Goran Suton,,,,,,,,,,,6.133,,3.592,2.033,0.508
50,DEN,Izzet Turkyilmaz,,,,,,,,,,,6.133,,3.592,2.033,0.508
50,ATL,James Ennis,,,,,,,,,,,6.133,,3.592,2.033,0.508
51,MIN,Tim Burroughs,,,,,,,,,,,6.227,,3.691,1.673,0.864
51,IND,Spencer Dunkley,,,,,,,,,,,6.227,,3.691,1.673,0.864
51,SAC,Dejan Bodiroga,,,,,,,,,,,6.227,,3.691,1.673,0.864
51,MIA,Corey Brewer,,,,,,,,,,,6.227,,3.691,1.673,0.864
51,VAN,Antwain Smith,,,,,,,,,,,6.227,,3.691,1.673,0.864
51,MIL,Andre Hutson,,,,,,,,,,,6.227,,3.691,1.673,0.864
51,MIN,Marcus Taylor,,,,,,,,,,,6.227,,3.691,1.673,0.864
51,NJN,Christian Drejer,,,,,,,,,,,6.227,,3.691,1.673,0.864
51,DAL,Shan Foster,,,,,,,,,,,6.227,,3.691,1.673,0.864
51,SAS,Jack McClinton,,,,,,,,,,,6.227,,3.691,1.673,0.864
51,OKC,Magnum Rolle,,,,,,,,,,,6.227,,3.691,1.673,0.864
51,POR,Jon Diebler,,,,,,,,,,,6.227,,3.691,1.673,0.864
51,ORL,Romero Osby,,,,,,,,,,,6.227,,3.691,1.673,0.864
52,LAL,Anthony Jones,,,,,,,,,,,5.489,,3.017,1.661,0.811
52,VAN,C.J. Bruton,,,,,,,,,,,5.489,,3.017,1.661,0.811
52,POR,Roberto Bergersen,,,,,,,,,,,5.489,,3.017,1.661,0.811
52,TOR,Remon Van de Hare,,,,,,,,,,,5.489,,3.017,1.661,0.811
52,SAS,Romain Sato,,,,,,,,,,,5.489,,3.017,1.661,0.811
52,DEN,Axel Hervelle,,,,,,,,,,,5.489,,3.017,1.661,0.811
53,SEA,Abdul Shamsid-Deen,,,,,,,,,,,5.575,,3.108,1.633,0.833
53,NJN,Von McDade,,,,,,,,,,,5.575,,3.108,1.633,0.833
53,HOU,Curtis Blair,,,,,,,,,,,5.575,,3.108,1.633,0.833
53,LAC,Leonard White,,,,,,,,,,,5.575,,3.108,1.633,0.833
53,HOU,Albert Burditt,,,,,,,,,,,5.575,,3.108,1.633,0.833
53,LAC,Constantin Popa,,,,,,,,,,,5.575,,3.108,1.633,0.833
53,LAL,Paul Rogers,,,,,,,,,,,5.575,,3.108,1.633,0.833
53,CHI,Tommy Smith,,,,,,,,,,,5.575,,3.108,1.633,0.833
53,SEA,Yotam Halperin,,,,,,,,,,,5.575,,3.108,1.633,0.833
53,UTA,Tadija Dragicevic,,,,,,,,,,,5.575,,3.108,1.633,0.833
53,LAC,Furkan Aldemir,,,,,,,,,,,5.575,,3.108,1.633,0.833
53,IND,Colton Iverson,,,,,,,,,,,5.575,,3.108,1.633,0.833
54,POR,Marcus Kennedy,,,,,,,,, ,,7.144,,4.356,2.089,0.7
54,SAC,Brett Roberts,,,,,,,,, ,,7.144,,4.356,2.089,0.7
54,PHO,Byron Wilson,,,,,,,,, ,,7.144,,4.356,2.089,0.7
54,SEA,Aurelijius Zukauskas,,,,,,,,,,,7.144,,4.356,2.089,0.7
54,DET,Melvin Levett,,,,,,,,,,,7.144,,4.356,2.089,0.7
54,SAS,Corey Hightower,,,,,,,,,,,7.144,,4.356,2.089,0.7
54,SAC,Maurice Jeffers,,,,,,,,,,,7.144,,4.356,2.089,0.7
54,DAL,Mladen Sekularac,,,,,,,,,,,7.144,,4.356,2.089,0.7
54,POR,Nedzad Sinanovic,,,,,,,,,,,7.144,,4.356,2.089,0.7
54,DET,Rickey Paulding,,,,,,,,,,,7.144,,4.356,2.089,0.7
54,HOU,Brad Newley,,,,,,,,,,,7.144,,4.356,2.089,0.7
54,HOU,Maarty Leunen,,,,,,,,,,,7.144,,4.356,2.089,0.7
54,CHA,Robert Vaden,,,,,,,,,,,7.144,,4.356,2.089,0.7
54,CLE,Milan Macvan,,,,,,,,,,,7.144,,4.356,2.089,0.7
54,WAS,Arsalan Kazemi,,,,,,,,,,,7.144,,4.356,2.089,0.7
55,WSB,Ronnie Henderson,,,,,,,,,,,8.209,,4.845,2.373,0.991
55,BOS,Ben Pepper,,,,,,,,,,,8.209,,4.845,2.373,0.991
55,BOS,Kris Clack,,,,,,,,,,,8.209,,4.845,2.373,0.991
55,SAS,Robertas Javtokas,,,,,,,,,,,8.209,,4.845,2.373,0.991
55,MIN,Rick Rickert,,,,,,,,,,,8.209,,4.845,2.373,0.991
55,CLE,Ejike Ugboaja,,,,,,,,,,,8.209,,4.845,2.373,0.991
55,UTA,Herbert Hill,,,,,,,,,,,8.209,,4.845,2.373,0.991
55,MEM,Joffrey Lauvergne,,,,,,,,,,,8.209,,4.845,2.373,0.991
56,UTA,Nate Erdmann,,,,,,,,,,,6.555,,3.727,1.873,0.955
56,IND,Jaquay Walls,,,,,,,,,,,6.555,,3.727,1.873,0.955
56,LAL,Marcus Douthit,,,,,,,,,,,6.555,,3.727,1.873,0.955
56,TOR,Edin Bavcic,,,,,,,,,,,6.555,,3.727,1.873,0.955
56,SEA,Sasha Kaun,,,,,,,,,,,6.555,,3.727,1.873,0.955
56,DAL,Ahmad Nivins,,,,,,,,,,,6.555,,3.727,1.873,0.955
56,LAL,Chukwudiebere Maduabum,,,,,,,,,,,6.555,,3.727,1.873,0.955
56,TOR,Tomislav Zubcic,,,,,,,,,,,6.555,,3.727,1.873,0.955
57,CHI,Roberto Duenas,,,,,,,,, ,,8.543,,4.871,2.557,1.114
57,ATL,Scoonie Penn,,,,,,,,,,,8.543,,4.871,2.557,1.114
57,SAS,Bryan Bracey,,,,,,,,, ,,8.543,,4.871,2.557,1.114
57,DAL,Xue Yuyang,,,,,,,,,,,8.543,,4.871,2.557,1.114
57,SAS,Sergei Karaulov,,,,,,,,,,,8.543,,4.871,2.557,1.114
57,MIN,Loukas Mavrokefalidis,,,,,,,,,,,8.543,,4.871,2.557,1.114
57,DET,Sammy Mejia,,,,,,,,,,,8.543,,4.871,2.557,1.114
57,SAS,James Gist,,,,,,,,,,,8.543,,4.871,2.557,1.114
57,PHO,Emir Preldzic,,,,,,,,,,,8.543,,4.871,2.557,1.114
57,DAL,Targuy Ngombo,,,,,,,,,,,8.543,,4.871,2.557,1.114
57,NJN,Ilkan Karaman,,,,,,,,,,,8.543,,4.871,2.557,1.114
57,PHO,Alex Oriakhi,,,,,,,,,,,8.543,,4.871,2.557,1.114
58,DAL,Darnell Robinson,,,,,,,,, ,,5,,3.025,1.575,0.4
58,UTA,Eddie Lucas,,,,,,,,, ,,5,,3.025,1.575,0.4
58,DAL,Pete Mickeal,,,,,,,,, ,,5,,3.025,1.575,0.4
58,MIN,Blake Stepp,,,,,,,,,,,5,,3.025,1.575,0.4
58,DAL,J.R. Pinnock,,,,,,,,,,,5,,3.025,1.575,0.4
58,SAS,Giorgos Printezis,,,,,,,,,,,5,,3.025,1.575,0.4
58,LAL,Ater Majok,,,,,,,,,,,5,,3.025,1.575,0.4
58,SAS,Deshaun Thomas,,,,,,,,,,,5,,3.025,1.575,0.4
59,IND,Rashad Wright,,,,,,,,, ,,3.4,,1.95,0.9,0.55
59,ATL,Cenk Akyol,,,,,,,,,,,3.4,,1.95,0.9,0.55
59,DET,Deron Washington,,,,,,,,,,,3.4,,1.95,0.9,0.55
59,LAL,Chinemelu Elonu,,,,,,,,,,,3.4,,1.95,0.9,0.55
59,ORL,Stanley Robinson,,,,,,,,,,,3.4,,1.95,0.9,0.55
59,SAS,Adam Hanga,,,,,,,,,,,3.4,,1.95,0.9,0.55
59,SAS,Marcus Denmon,,,,,,,,,,,3.4,,1.95,0.9,0.55
59,MIN,Bojan Dubljevic,,,,,,,,,,,3.4,,1.95,0.9,0.55
60,DAL,Milovan Rakovic,,,,,,,,, ,,9.08,,5.54,2.04,1.5
60,MIA,Robert Dozier,,,,,,,,, ,,9.08,,5.54,2.04,1.5
60,PHO,Dwayne Collins,,,,,,,,, ,,9.08,,5.54,2.04,1.5
60,MEM,Janis Timma,,,,,,,,, ,,9.08,,5.54,2.04,1.5
