Pk,Tm,Player,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,RTG,RTG_exp,RTG_diff,PTS_exp,TRB_exp,AST_exp
13,MEM,Marcus Banks,0.432,0.327,0.768,16,5.9,1.5,2.1,6.6,0.057,9.5,15.362,-5.862,9.5,3.925,1.938
21,POR,Qyntel Woods,0.452,0.357,0.603,12.3,4.1,2.3,0.6,1.4,0.032,7,12.896,-5.896,7.538,3.346,2.013
26,SEA,Sherell Ford,0.375,0.16,0.765,5,3.2,0.9,0.2,0.4,0.124,4.3,10.208,-5.908,6.146,2.842,1.221
26,CHI,Mark Randall,0.443,0.154,0.722,7,2.6,1.3,0.4,1,0.054,4.3,10.208,-5.908,6.146,2.842,1.221
1,TOR,Andrea Bargnani,0.438,0.355,0.825,30.3,15,4.9,1.2,17.8,0.059,21.1,27.029,-5.929,16.708,7.358,2.962
37,MIA,Isaiah Morris,0.456,,0.75,4.1,2.2,0.5,0.2,0,-0.022,2.9,8.883,-5.983,5.146,2.421,1.317
14,DET,Mateen Cleaves,0.389,0.267,0.728,11.2,3.6,1,1.9,-0.8,-0.021,6.5,12.538,-6.038,7.938,3.233,1.367
17,ORL,Johnny Taylor,0.402,0.394,0.718,16,4.7,2.2,0.5,0.1,0.007,7.4,13.446,-6.046,8.033,3.779,1.633
17,ATL,Dennis Schr�der,0.414,0.239,0.721,13.3,4.2,1.3,1.9,-0.3,-0.017,7.4,13.446,-6.046,8.033,3.779,1.633
4,CHI,Marcus Fizer,0.435,0.191,0.691,20.9,9.6,4.6,1.2,2.7,0.022,15.4,21.496,-6.096,13.212,5.262,3.021
19,UTA,Quincy Lewis,0.397,0.333,0.71,11.7,3.6,1.3,0.6,0.8,0.02,5.5,11.6,-6.1,7.196,3.158,1.246
2,MIN,Derrick Williams,0.423,0.294,0.708,22.8,9.4,4.7,0.6,7.3,0.068,14.7,20.838,-6.138,12.367,5.779,2.692
30,LAL,John Celestand,0.333,0.222,0.833,11.6,2.3,0.7,1.3,-0.1,-0.038,4.3,10.477,-6.177,6.064,3.164,1.25
10,ORL,Keyon Dooling,0.416,0.349,0.799,19.4,7,1.3,2.2,18.5,0.063,10.5,16.679,-6.179,10.442,4.133,2.104
51,CHI,JamesOn Curry,,,,0,0,0,0,0,,0,6.227,-6.227,3.691,1.673,0.864
40,MIA,Jeff Webster,0.348,0.333,,5.3,1.6,0.6,0.3,0,-0.03,2.5,8.742,-6.242,5.289,2.1,1.353
37,HOU,Tito Maddox,0.25,0,0.625,3.9,1.2,0.8,0.6,0,-0.011,2.6,8.883,-6.283,5.146,2.421,1.317
37,MIL,Darington Hobson,0.154,0,,7.8,0.8,0.6,1.2,-0.2,-0.225,2.6,8.883,-6.283,5.146,2.421,1.317
44,ORL,Martynas Andriuskevicius,0,,,1.5,0,0.7,0,0,0.155,0.7,7.025,-6.325,4.15,2,0.875
43,NOK,Marcus Vinicius,0.457,0.421,0.556,6.6,1.9,0.7,0.3,0.2,0.056,2.9,9.238,-6.338,5.857,2.381,1
17,NYK,Jerrod Mustaf,0.449,0,0.648,10.6,4,2.5,0.6,1.7,0.043,7.1,13.446,-6.346,8.033,3.779,1.633
9,NYK,Mike Sweetney,0.485,0,0.689,15.5,6.5,4.5,0.6,7.8,0.103,11.6,17.971,-6.371,10.925,4.988,2.058
43,PHO,Ben Davis,0.356,,0.462,3.9,1.4,1.3,0.1,0.1,0.04,2.8,9.238,-6.438,5.857,2.381,1
14,UTA,Shabazz Muhammad,0.469,0.357,0.589,8.5,4.3,1.6,0.2,0.4,0.053,6.1,12.538,-6.438,7.938,3.233,1.367
57,ATL,Cuonzo Martin,0.25,0.6,0,4.6,1.3,0.4,0.4,-0.1,-0.151,2.1,8.543,-6.443,4.871,2.557,1.114
17,PHO,Zarko Cabarkapa,0.427,0.273,0.733,10.3,4.3,2.1,0.6,1.1,0.035,7,13.446,-6.446,8.033,3.779,1.633
49,CHI,Erik Murphy,0.231,0,,2.6,0.3,0.3,0.1,-0.1,-0.055,0.7,7.18,-6.48,4.033,2.207,0.94
12,TOR,Aleksandar Radojevic,0.308,,0.625,10.1,1.7,2.4,0.5,-0.4,-0.13,4.6,11.125,-6.525,6.512,3.496,1.117
57,IND,Ryan Reid,0.8,,,3.4,1.6,0.4,0,0.1,0.142,2,8.543,-6.543,4.871,2.557,1.114
16,LAC,Randy Woods,0.34,0.305,0.683,7.2,2.4,0.6,1.7,0.6,0.026,4.7,11.248,-6.548,6.778,3.061,1.409
11,GSW,Todd Fuller,0.422,0,0.668,11.1,3.7,3,0.2,2.2,0.041,6.9,13.465,-6.565,8.122,3.613,1.73
37,DET,Tony Mitchell,0.417,1,0.579,3.8,1,1.2,0.1,0.2,0.151,2.3,8.883,-6.583,5.146,2.421,1.317
48,NOH,James Lang,0.444,,0.6,5,1,1,0.2,0.1,0.047,2.2,8.8,-6.6,4.912,2.988,0.9
26,DET,Lance Blanks,0.436,0.253,0.667,7.4,2,0.8,0.8,0.7,0.031,3.6,10.208,-6.608,6.146,2.842,1.221
47,LAC,Travis Leslie,0.357,,0.444,4.5,1.4,0.9,0.5,0.1,0.06,2.8,9.472,-6.672,5.578,2.417,1.478
17,TOR,Michael Bradley,0.477,0.143,0.511,11.7,2.8,3.4,0.5,2,0.047,6.7,13.446,-6.746,8.033,3.779,1.633
11,BOS,Kedrick Brown,0.405,0.274,0.64,13.5,3.6,2.4,0.7,3,0.074,6.7,13.465,-6.765,8.122,3.613,1.73
30,DET,Lou Roe,0.333,0.25,0.647,7.3,2,1.4,0.3,0,-0.001,3.7,10.477,-6.777,6.064,3.164,1.25
48,POR,Kevin Thompson,0.429,0,0.5,4.1,0.9,0.9,0.2,0,-0.016,2,8.8,-6.8,4.912,2.988,0.9
17,CHH,Greg Graham,0.407,0.29,0.775,12.2,4.5,1.1,1,1.3,0.025,6.6,13.446,-6.846,8.033,3.779,1.633
