Pk,Tm,Player,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,POR,Greg Oden,0.574,,0.658,19.3,8,6.2,0.5,7.3,0.174
2,SEA,Kevin Durant,0.479,0.377,0.882,38.2,27.4,6.9,3.5,88.6,0.205
3,ATL,Al Horford,0.54,0.333,0.736,34.2,14,9.5,2.6,46.5,0.153
4,MEM,Mike Conley,0.441,0.373,0.794,32.7,13.1,2.8,5.6,41.6,0.117
5,BOS,Jeff Green,0.441,0.344,0.784,32.8,14.3,5.1,1.6,24.3,0.073
6,MIL,Yi Jianlian,0.404,0.333,0.78,22.2,7.9,4.9,0.7,3.1,0.025
7,MIN,Corey Brewer,0.429,0.295,0.7,25.7,10,3,1.6,13.9,0.055
8,CHA,Brandan Wright,0.601,0,0.683,15.7,7.2,3.6,0.4,17.6,0.183
9,CHI,Joakim Noah,0.499,0,0.728,29.8,9.9,9.4,2.7,51.3,0.171
10,SAC,Spencer Hawes,0.465,0.359,0.704,24.8,9.6,6.4,2,17.9,0.069
11,ATL,Acie Law,0.413,0.235,0.778,12.7,3.9,1,1.6,1.6,0.032
12,PHI,Thaddeus Young,0.499,0.325,0.699,30.1,13.7,5.5,1.4,35.9,0.11
13,NOK,Julian Wright,0.499,0.262,0.584,13.2,3.9,2.3,0.8,3.9,0.061
14,LAC,Al Thornton,0.452,0.293,0.747,28,11.9,4.2,1.2,6.1,0.035
15,DET,Rodney Stuckey,0.423,0.287,0.827,28.9,13.4,2.9,3.9,22.8,0.078
16,WAS,Nick Young,0.429,0.377,0.827,23.8,12.2,2,1.1,12.5,0.052
17,NJN,Sean Williams,0.511,0,0.624,14.4,4.2,3.4,0.3,3,0.073
18,GSW,Marco Belinelli,0.432,0.397,0.814,22.8,9.5,2,1.6,17.1,0.081
19,LAL,Javaris Crittenton,0.442,0.231,0.638,16.4,5.3,2.4,1.8,0.1,0.002
20,MIA,Jason Smith,0.473,0.259,0.768,16.7,6,3.5,0.6,8.9,0.075
21,PHI,Daequan Cook,0.369,0.359,0.813,18.3,6.4,2.1,0.7,4.9,0.039
22,CHA,Jared Dudley,0.467,0.395,0.737,24,8.6,3.4,1.5,29.2,0.11
23,NYK,Wilson Chandler,0.444,0.337,0.778,30.9,13.6,5.1,1.8,16.3,0.068
24,PHO,Rudy Fernandez,0.399,0.36,0.84,24,9.1,2.4,2.2,14.2,0.114
25,UTA,Morris Almond,0.381,0.292,0.743,9.5,3.1,1.2,0.3,0,0.005
26,HOU,Aaron Brooks,0.415,0.371,0.849,23.5,11.1,1.8,3.4,15.2,0.077
27,DET,Arron Afflalo,0.458,0.39,0.815,27.5,11.1,3,2,26.7,0.092
28,SAS,Tiago Splitter,0.561,0,0.68,19.8,8.3,5.3,1.2,19.5,0.182
29,PHO,Alando Tucker,0.423,0.294,0.783,8.4,4.1,1,0.3,0.4,0.045
30,PHI,Petteri Koponen,,,,,,,,,
31,SEA,Carl Landry,0.536,0.176,0.786,23.9,11.5,5.2,0.7,31.7,0.153
32,BOS,Gabe Pruitt,0.321,0.283,0.783,7.4,2,0.8,0.8,0.4,0.043
33,SAS,Marcus Williams,0.318,,,3,1.1,0.9,0.2,-0.1,-0.084
34,DAL,Nick Fazekas,0.561,0,0.682,10.3,4.1,3.4,0.4,0.8,0.148
35,SEA,Glen Davis,0.446,0.196,0.705,22.6,8.6,4.7,0.9,17.2,0.083
36,GSW,Jermareo Davidson,0.425,,0.578,8.3,3.1,1.8,0.3,0,0
37,POR,Josh McRoberts,0.477,0.342,0.709,19.8,5.7,4.1,2.1,17,0.115
38,PHI,Kyrylo Fesenko,0.496,0,0.41,8.2,2.3,2,0.3,0.9,0.038
39,MIA,Stanko Barac,,,,,,,,,
40,LAL,Sun Yue,0.273,0,,2.8,0.6,0,0.2,-0.1,-0.226
41,MIN,Chris Richard,0.483,,0.605,11.1,1.9,2.8,0.4,0.7,0.045
42,POR,Derrick Byars,0.273,0,1,18.5,5,5.5,0.5,0.1,0.147
43,NOK,Adam Haluska,,,,,,,,,
44,ORL,Reyshawn Terry,,,,,,,,,
45,LAC,Jared Jordan,,,,,,,,,
46,GSW,Stephane Lasme,0.451,,0.594,18.9,5.2,3.3,0.2,0.3,0.041
47,WAS,Dominic McGuire,0.419,0.188,0.658,15.6,2.7,3.4,1.2,4.1,0.037
48,LAL,Marc Gasol,0.511,0.152,0.751,33.8,13.6,7.9,2.9,49.2,0.157
49,CHI,Aaron Gray,0.509,0,0.562,12.1,3.4,3.7,0.7,6.2,0.077
50,DAL,Renaldas Seibutis,,,,,,,,,
51,CHI,JamesOn Curry,,,,0,0,0,0,0,
52,POR,Taurean Green,0.28,0.182,0.917,4.4,1.6,0.6,0.6,-0.1,-0.066
53,POR,Demetris Nichols,0.281,0.2,0.5,3.2,1.2,0.4,0.1,-0.2,-0.203
54,HOU,Brad Newley,,,,,,,,,
55,UTA,Herbert Hill,,,,,,,,,
56,MIL,Ramon Sessions,0.438,0.312,0.8,25.6,11.6,2.9,4.6,22.8,0.09
57,DET,Sammy Mejia,,,,,,,,,
58,SAS,Giorgos Printezis,,,,,,,,,
59,PHO,D.J. Strawberry,0.315,0.24,0.474,8.2,2.2,0.8,0.9,-0.2,-0.031
60,DAL,Milovan Rakovic,,,,,,,,, 
