Pk,Tm,Player,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,ORL,Dwight Howard,0.579,0.085,0.574,35.9,18.3,12.9,1.5,104.3,0.18
2,CHA,Emeka Okafor,0.512,0,0.584,31.7,12.3,9.9,0.9,44.3,0.114
3,CHI,Ben Gordon,0.432,0.402,0.857,28.3,15.5,2.6,2.6,33.1,0.081
4,LAC,Shaun Livingston,0.466,0.204,0.802,22.9,6.9,2.6,3.4,15.7,0.069
5,WAS,Devin Harris,0.439,0.319,0.797,27.3,12.4,2.4,4.8,43,0.116
6,ATL,Josh Childress,0.522,0.329,0.779,26.7,9.1,4.7,1.6,25.7,0.118
7,PHO,Luol Deng,0.458,0.33,0.771,35.7,16,6.3,2.5,61.3,0.12
8,TOR,Rafael Araujo,0.405,0.25,0.679,11.4,2.8,2.8,0.3,-0.4,-0.013
9,PHI,Andre Iguodala,0.461,0.33,0.72,36.9,14.5,5.7,4.8,72.8,0.124
10,CLE,Luke Jackson,0.357,0.36,0.732,9.9,3.5,1.2,0.8,0.2,0.01
11,GSW,Andris Biedrins,0.594,0,0.5,21.6,6.3,7,0.9,30.7,0.132
12,SEA,Robert Swift,0.506,,0.61,15.5,4.3,3.9,0.2,1.7,0.054
13,POR,Sebastian Telfair,0.39,0.318,0.777,21.6,7.4,1.6,3.5,4.7,0.019
14,UTA,Kris Humphries,0.469,0.095,0.685,18.1,6.7,5.5,0.7,23.4,0.098
15,BOS,Al Jefferson,0.501,0.105,0.711,31.1,17.1,9.1,1.5,60.3,0.131
16,UTA,Kirk Snyder,0.438,0.327,0.699,16.8,6.3,2.3,1.1,4.5,0.061
17,ATL,Josh Smith,0.458,0.277,0.642,34.3,15.4,7.9,3.2,48.6,0.089
18,NOH,J.R. Smith,0.424,0.37,0.737,26.2,13.3,3.3,2.2,35.2,0.092
19,MIA,Dorell Wright,0.426,0.364,0.806,23.2,8.7,3.9,1.6,24.4,0.1
20,DEN,Jameer Nelson,0.441,0.374,0.817,29.2,12.5,3.1,5.4,43.1,0.107
21,UTA,Pavel Podkolzin,0,,0.5,4.7,0.7,1.5,0,-0.1,-0.163
22,NJN,Viktor Khryapa,0.443,0.292,0.658,16.4,4.5,3.4,1,2,0.041
23,POR,Sergei Monia,0.333,0.265,0.714,13.2,3,2,0.7,-0.2,-0.025
24,BOS,Delonte West,0.448,0.372,0.826,27.4,9.7,2.9,3.6,24.5,0.099
25,BOS,Tony Allen,0.477,0.263,0.729,21.1,8,3.1,1.4,29.6,0.11
26,SAC,Kevin Martin,0.441,0.386,0.87,30.9,17.9,3.3,1.9,58.9,0.146
27,LAL,Sasha Vujacic,0.395,0.371,0.87,15.9,5.6,1.9,1.3,14.8,0.093
28,SAS,Beno Udrih,0.462,0.354,0.827,23,8.8,2.1,3.6,26.4,0.081
29,IND,David Harrison,0.53,,0.525,14.2,5,2.9,0.2,3.2,0.057
30,ORL,Anderson Varejao,0.513,0.025,0.628,25.9,7.8,7.8,1.2,43.6,0.15
31,CHI,Jackson Vroman,0.408,0,0.58,12.8,3.3,3,0.6,0,0.001
32,WAS,Peter John Ramos,0.5,,0.5,3.3,1.8,0.7,0,0,-0.108
33,LAC,Lionel Chalmers,0.336,0.245,0.625,12,3.1,0.9,1.4,-0.2,-0.025
34,ATL,Donta Smith,0.421,0.308,0.65,9.2,2.7,1.1,0.8,0.5,0.043
35,SEA,Andre Emmett,0.462,0,0.615,5.2,1.4,0.6,0.1,0.1,0.04
36,ORL,Antonio Burks,0.387,0.235,0.571,9.7,2.3,0.6,1.3,0.1,0.004
37,ATL,Royal Ivey,0.406,0.361,0.706,12.5,3.3,1.1,1,4.5,0.035
38,CHI,Chris Duhon,0.393,0.363,0.784,25.6,6.5,2.3,4.4,25,0.077
39,TOR,Albert Miralles,,,,,,,,,
40,BOS,Justin Reed,0.404,0,0.752,10.6,3.5,1.4,0.5,0.5,0.016
41,SEA,David Young,,,,,,,,,
42,ATL,Viktor Sanikidze,,,,,,,,,
43,NYK,Trevor Ariza,0.434,0.351,0.697,27,9.8,4.7,2,35.4,0.098
44,NOH,Tim Pickett,,,,,,,,,
45,CHA,Bernard Robinson,0.417,0.161,0.786,14.9,4.5,2.5,1,2,0.049
46,POR,Ha Seung-Jin,0.519,,0.5,6.9,1.5,1.5,0.1,-0.2,-0.029
47,MIA,Pape Sow,0.416,,0.678,11.6,2.9,2.8,0.2,0.8,0.044
48,SAC,Ricky Minard,,,,,,,,,
49,MEM,Sergei Lishouk,,,,,,,,,
50,DAL,Vassilis Spanoulis,0.319,0.172,0.81,8.8,2.7,0.7,0.9,-0.1,-0.01
51,NJN,Christian Drejer,,,,,,,,,
52,SAS,Romain Sato,,,,,,,,,
53,MIA,Matt Freije,0.293,0.224,0.714,14,3.2,2,0.6,-0.6,-0.047
54,DET,Rickey Paulding,,,,,,,,,
55,HOU,Luis Flores,0.483,0.5,1,4.8,2.2,0.2,0.7,0,-0.02
56,LAL,Marcus Douthit,,,,,,,,,
57,SAS,Sergei Karaulov,,,,,,,,,
58,MIN,Blake Stepp,,,,,,,,,
59,IND,Rashad Wright,,,,,,,,, 
