Pk,Tm,Player,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,GSW,Joe Smith,0.455,0.238,0.79,26.2,10.9,6.4,1,60.3,0.107
2,LAC,Antonio McDyess,0.497,0.117,0.67,27.6,12,7.5,1.3,69.8,0.119
3,PHI,Jerry Stackhouse,0.409,0.309,0.822,31.2,16.9,3.2,3.3,52.4,0.083
4,WSB,Rasheed Wallace,0.467,0.336,0.721,32.7,14.4,6.7,1.8,105.1,0.139
5,MIN,Kevin Garnett,0.497,0.277,0.79,35.4,18.5,10.3,3.8,188.6,0.184
6,VAN,Bryant Reeves,0.475,0.074,0.703,30.6,12.5,6.9,1.6,13,0.052
7,TOR,Damon Stoudamire,0.406,0.357,0.833,33.2,13.4,3.5,6.1,55.4,0.091
8,POR,Shawn Respert,0.414,0.34,0.816,13.7,4.9,1.3,1,2.1,0.043
9,NJN,Ed O'Bannon,0.367,0.222,0.755,16.1,5,2.5,0.8,1.1,0.025
10,MIA,Kurt Thomas,0.486,0.281,0.76,24.5,8.1,6.6,1.1,64.2,0.114
11,MIL,Gary Trent,0.501,0.08,0.643,19.5,8.6,4.5,1,23.2,0.113
12,DAL,Cherokee Parks,0.47,0.211,0.63,15.8,4.4,3.6,0.6,11.8,0.076
13,SAC,Corliss Williamson,0.49,0.136,0.714,22.8,11.1,3.9,1.2,34.7,0.089
14,BOS,Eric Williams,0.415,0.318,0.736,23.9,8.6,3.3,1.4,23.2,0.071
15,DEN,Brent Barry,0.46,0.405,0.823,25.9,9.3,3,3.2,70.5,0.143
16,ATL,Alan Henderson,0.469,0.192,0.639,21.1,7.8,5,0.6,28,0.097
17,CLE,Bob Sura,0.414,0.325,0.689,23.7,8.6,3.4,3.8,28.3,0.087
18,DET,Theo Ratliff,0.496,0,0.71,25.3,7.2,5.7,0.6,47.9,0.112
19,DET,Randolph Childress,0.328,0.273,0.8,7.9,2.4,0.5,1,-0.2,-0.026
20,CHI,Jason Caffey,0.481,0,0.637,19.6,7.3,4.4,0.9,13.5,0.072
21,PHO,Michael Finley,0.444,0.375,0.811,34.4,15.7,4.4,2.9,85.2,0.108
22,CHH,George Zidek,0.408,0.25,0.783,9.8,3.4,2.1,0.2,0.8,0.029
23,IND,Travis Best,0.431,0.345,0.835,21.4,7.6,1.8,3.5,30.9,0.098
24,DAL,Loren Meyer,0.432,0.348,0.696,14.6,4.6,3.4,0.6,0.5,0.012
25,ORL,David Vaughn,0.423,0,0.638,9.8,2.9,3.1,0.3,0.6,0.026
26,SEA,Sherell Ford,0.375,0.16,0.765,5,3.2,0.9,0.2,0.4,0.124
27,PHO,Mario Bennett,0.534,0.333,0.511,8.9,4,2.7,0.4,1.9,0.153
28,UTA,Greg Ostertag,0.486,0.1,0.569,19.5,4.6,5.5,0.6,33.8,0.11
29,SAS,Cory Alexander,0.389,0.354,0.756,15.8,5.5,1.6,2.7,3,0.03
30,DET,Lou Roe,0.333,0.25,0.647,7.3,2,1.4,0.3,0,-0.001
31,CHI,Dragan Tarlac,0.394,,0.758,13.9,2.4,2.8,0.7,-0.2,-0.016
32,WSB,Terrence Rencher,0.33,0.31,0.674,11.3,2.9,1.2,1.5,-0.2,-0.021
33,BOS,Junior Burrough,0.376,,0.656,8.1,3.1,1.8,0.2,-0.2,-0.018
34,GSW,Andrew DeClercq,0.507,0,0.621,16.8,4.8,4.2,0.6,19.3,0.094
35,TOR,Jimmy King,0.429,0.147,0.691,13.9,4.5,1.8,1.4,0,0.001
36,VAN,Lawrence Moten,0.408,0.299,0.652,15.2,6.3,1.5,1.5,0,0.001
37,LAL,Frankie King,0.357,0.333,0.75,6.1,2.1,1.2,0.5,0,0.025
38,MIL,Rashard Griffith,,,,,,,,,
39,CLE,Donny Marshall,0.321,0.336,0.681,7.7,2.5,1,0.3,0.9,0.045
40,GSW,Dwayne Whitfield,0.433,,0.636,15.3,5,3.1,0.3,0,0.01
41,HOU,Erik Meek,,,,,,,,,
42,ATL,Donnie Boyce,0.349,0.25,0.5,6.5,2.6,0.8,0.5,-0.3,-0.064
43,MIL,Eric Snow,0.424,0.208,0.763,27.3,6.8,2.5,5,43.4,0.09
44,DEN,Anthony Pelle,,,,,,,,,
45,ATL,Troy Brown,,,,,,,,,
46,MIA,George Banks,,,,,,,,,
47,SAC,Tyus Edney,0.405,0.322,0.806,21,7.6,1.7,4,6.8,0.068
48,MIN,Mark Davis,0.442,0.246,0.655,16,5.5,3,1.3,2.3,0.03
49,MIN,Jerome Allen,0.35,0.317,0.63,11.2,2.9,1.1,1.7,0.2,0.006
50,GSW,Martin Lewis,0.473,0.3,0.593,9.6,3.6,1.4,0.3,0.1,0.026
51,SAC,Dejan Bodiroga,,,,,,,,,
52,IND,Fred Hoiberg,0.431,0.396,0.854,18.4,5.4,2.7,1.6,27.6,0.133
53,LAC,Constantin Popa,,,,,,,,,
54,SEA,Aurelijius Zukauskas,,,,,,,,,
55,GSW,Michael McDonald,,,,4,0,1,0,-0.1,-0.638
56,PHO,Chris Carr,0.416,0.338,0.807,15.2,6.7,2.2,1,3.9,0.042
57,ATL,Cuonzo Martin,0.25,0.6,0,4.6,1.3,0.4,0.4,-0.1,-0.151
58,DET,Don Reid,0.53,0,0.658,13.3,3.6,2.9,0.4,13.7,0.123
