Pk,Tm,Player,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,CHI,Elton Brand,0.501,0.105,0.736,34,16.6,8.8,2.1,108.7,0.153
2,VAN,Steve Francis,0.429,0.341,0.797,37.6,18.1,5.6,6,54.1,0.12
3,CHH,Baron Davis,0.409,0.32,0.711,34.2,16.1,3.8,7.2,63.1,0.106
4,LAC,Lamar Odom,0.463,0.312,0.693,33.4,13.3,8.4,3.7,77,0.115
5,TOR,Jonathan Bender,0.417,0.34,0.763,14.7,5.5,2.2,0.6,3.8,0.047
6,MIN,Wally Szczerbiak,0.485,0.406,0.86,30.8,14.1,4,2.4,53.3,0.127
7,WAS,Richard Hamilton,0.449,0.346,0.852,32.1,17.1,3.1,3.4,62.8,0.102
8,CLE,Andre Miller,0.459,0.217,0.808,32.4,13.3,3.9,6.9,98,0.122
9,PHO,Shawn Marion,0.485,0.333,0.811,35.2,15.7,8.9,1.9,123.3,0.151
10,ATL,Jason Terry,0.446,0.38,0.847,32.5,15.3,2.6,4.4,94.8,0.123
11,CLE,Trajan Langdon,0.416,0.396,0.91,14.6,5.4,1.3,1.3,2.9,0.079
12,TOR,Aleksandar Radojevic,0.308,,0.625,10.1,1.7,2.4,0.5,-0.4,-0.13
13,SEA,Corey Maggette,0.453,0.324,0.822,28.2,16,4.9,2.1,62.2,0.128
14,MIN,William Avery,0.33,0.255,0.714,8.5,2.7,0.7,1.4,-0.9,-0.034
15,NYK,Frederic Weis,,,,,,,,,
16,CHI,Metta World Peace,0.417,0.341,0.716,33,13.8,4.7,2.8,61.2,0.096
17,ATL,Cal Bowdler,0.404,0.182,0.768,9.7,3,1.9,0.2,1.8,0.061
18,DEN,James Posey,0.41,0.349,0.82,26.9,8.6,4.7,1.6,51.6,0.107
19,UTA,Quincy Lewis,0.397,0.333,0.71,11.7,3.6,1.3,0.6,0.8,0.02
20,ATL,Dion Glover,0.411,0.317,0.756,20.9,8.2,3.1,1.5,5.8,0.045
21,GSW,Jeff Foster,0.497,0.13,0.615,20.6,4.9,6.9,0.9,47.5,0.145
22,HOU,Kenny Thomas,0.465,0.244,0.699,27.4,9.3,6.9,1.5,31.2,0.086
23,LAL,Devean George,0.392,0.343,0.721,18.5,5.6,3.1,0.9,18.2,0.075
24,UTA,Andrei Kirilenko,0.474,0.31,0.754,30,11.8,5.5,2.7,75.4,0.151
25,MIA,Tim James,0.329,0.333,0.652,6.1,1.6,1.1,0.3,0,-0.003
26,IND,Vonteego Cummings,0.383,0.321,0.726,19,6.9,1.9,2.7,2.2,0.028
27,ATL,Jumaine Jones,0.424,0.349,0.704,20.8,7.1,4.2,0.9,15.1,0.074
28,UTA,Scott Padgett,0.41,0.373,0.736,12.5,4.2,2.7,0.7,13.2,0.113
29,SAS,Leon Smith,0.393,,0.647,6.9,2.2,2.2,0.2,0.2,0.112
30,LAL,John Celestand,0.333,0.222,0.833,11.6,2.3,0.7,1.3,-0.1,-0.038
31,LAC,Rico Hill,,,,,,,,,
32,CHI,Michael Ruffin,0.407,0,0.459,14.4,1.7,3.9,0.6,6.8,0.055
33,DEN,Chris Herren,0.336,0.328,0.692,14.4,3.2,1,2.4,0.5,0.025
34,NJN,Evan Eschmeyer,0.463,,0.621,14,2.8,3.9,0.5,4,0.09
35,WAS,Calvin Booth,0.451,0.222,0.748,12.2,3.3,2.8,0.4,8,0.086
36,DAL,Wang Zhizhi,0.417,0.385,0.735,9.2,4.4,1.7,0.3,2.1,0.078
37,VAN,Obinna Ekezie,0.423,0,0.72,10.6,3.6,2.7,0.2,1.7,0.054
38,ORL,Laron Profit,0.419,0.236,0.712,11.4,3.3,1.5,1.2,0.7,0.021
39,CLE,A.J. Bramlett,0.19,,,7.6,1,2.8,0,-0.2,-0.129
40,DAL,Gordan Giricek,0.442,0.368,0.823,23,9.6,2.5,1.5,8,0.044
41,DEN,Francisco Elson,0.478,0.188,0.7,15.3,3.7,3.5,0.6,11.7,0.078
42,MIN,Louis Bullock,,,,,,,,,
43,CHH,Lee Nailon,0.474,0.111,0.786,19,8.6,3.1,1,8,0.066
44,HOU,Tyrone Washington,,,,,,,,,
45,SAC,Ryan Robertson,0.333,0,1,25,5,0,0,0,-0.022
46,NYK,J.R. Koch,,,,,,,,,
47,PHI,Todd MacCulloch,0.541,,0.642,15.4,6.1,4,0.5,11.9,0.166
48,MIL,Galen Young,,,,,,,,,
49,CHI,Lari Ketner,0.406,,0.667,5.6,1.4,1.4,0.1,0,-0.015
50,HOU,Venson Hamilton,,,,,,,,,
51,VAN,Antwain Smith,,,,,,,,,
52,POR,Roberto Bergersen,,,,,,,,,
53,MIA,Rodney Buford,0.412,0.3,0.758,18.2,6.4,2.6,0.8,2.9,0.033
54,DET,Melvin Levett,,,,,,,,,
55,BOS,Kris Clack,,,,,,,,,
56,GSW,Tim Young,0.333,,0.778,5.5,2.2,1.4,0.2,0.2,0.058
57,SAS,Manu Ginobili,0.451,0.37,0.833,27.1,14.7,3.8,4,94.2,0.208
58,UTA,Eddie Lucas,,,,,,,,, 
