Pk,Tm,Player,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,SAS,Tim Duncan,0.506,0.176,0.695,34.8,19.8,11.1,3.1,192.2,0.211
2,PHI,Keith Van Horn,0.443,0.361,0.835,31.6,16,6.8,1.6,41.7,0.11
3,BOS,Chauncey Billups,0.415,0.387,0.894,31.6,15.2,2.9,5.4,120.8,0.176
4,VAN,Antonio Daniels,0.444,0.311,0.793,22.6,7.6,1.8,3.4,47,0.115
5,DEN,Tony Battie,0.488,0.162,0.69,21.1,6.1,5.1,0.6,36.4,0.099
6,BOS,Ron Mercer,0.429,0.25,0.808,31.1,13.6,3.1,2.1,9.4,0.034
7,NJN,Tim Thomas,0.437,0.369,0.758,25.9,11.5,4.1,1.5,35.2,0.079
8,GSW,Adonal Foyle,0.477,0,0.499,17.8,4.1,4.7,0.5,18.7,0.069
9,TOR,Tracy McGrady,0.435,0.338,0.746,32.7,19.6,5.6,4.4,97.3,0.152
10,MIL,Danny Fortson,0.472,0.167,0.785,20.1,8.2,7.2,0.7,22.3,0.121
11,SAC,Tariq Abdul-Wahad,0.417,0.237,0.703,20.4,7.8,3.3,1.1,3.5,0.035
12,IND,Austin Croshere,0.407,0.34,0.861,17.4,6.8,4,1,27.6,0.115
13,CLE,Derek Anderson,0.408,0.341,0.853,29.2,12,3.2,3.4,43.9,0.117
14,LAC,Maurice Taylor,0.466,0.152,0.711,25,11,4.6,1.2,9.9,0.036
15,DAL,Kelvin Cato,0.507,0.077,0.644,19.6,5.5,5.3,0.5,28.6,0.129
16,CLE,Brevin Knight,0.412,0.134,0.789,24.9,7.3,2.4,6.1,32.6,0.086
17,ORL,Johnny Taylor,0.402,0.394,0.718,16,4.7,2.2,0.5,0.1,0.007
18,POR,Chris Anstey,0.413,0.138,0.755,13.9,5.2,3.4,0.8,2.8,0.062
19,DET,Scot Pollard,0.494,0,0.709,16.5,4.4,4.6,0.4,26.6,0.153
20,MIN,Paul Grant,0.448,,0.375,6.9,1.8,1.1,0.2,-0.1,-0.043
21,NJN,Anthony Parker,0.444,0.404,0.794,27.8,9.1,3.2,2.3,24.5,0.085
22,ATL,Ed Gray,0.339,0.341,0.814,13.5,6.2,1.2,0.8,0.1,0.009
23,SEA,Bobby Jackson,0.417,0.354,0.793,22.2,9.7,3.1,2.6,31.4,0.09
24,HOU,Rodrick Rhodes,0.347,0.2,0.62,17.1,5.3,1.2,1.7,-1.6,-0.064
25,NYK,John Thomas,0.502,0,0.591,10.8,2.7,2.1,0.3,3.2,0.067
26,MIA,Charles Smith,0.409,0.288,0.606,13.9,5.1,1.4,0.9,1.5,0.036
27,UTA,Jacque Vaughn,0.429,0.352,0.779,16.3,4.5,1.3,2.5,15.4,0.058
28,CHI,Keith Booth,0.325,0.091,0.563,10,2.9,2.2,0.9,-0.8,-0.08
29,HOU,Serge Zwikker,,,,,,,,,
30,MIA,Mark Sanford,,,,,,,,,
31,DET,Charles O'Bannon,0.4,0,0.87,8.3,2.5,1.4,0.6,0.6,0.07
32,DEN,James Cotton,0.359,0,0.778,4.8,2.6,0.8,0,0,0.008
33,PHI,Marko Milic,0.56,0.429,0.647,4.9,2.5,0.7,0.3,0.2,0.047
34,DAL,Bubba Wells,0.414,0.167,0.721,10.1,3.3,1.7,0.9,0.1,0.013
35,PHI,Kebu Stewart,0.462,,0.64,7.3,2.7,2.1,0.1,0.2,0.098
36,PHI,James Collins,0.382,0.45,0.571,4.5,2.6,0.6,0.1,0,0.008
37,GSW,Marc Jackson,0.446,0.226,0.814,19.6,8.4,4.3,0.8,13,0.082
38,MIL,Jerald Honeycutt,0.391,0.362,0.632,11.7,5.1,1.9,0.7,0.3,0.02
39,SAC,Anthony Johnson,0.414,0.356,0.745,19.6,5.6,1.7,2.9,23.2,0.072
40,SEA,Eddie Elisma,,,,,,,,,
41,DEN,Jason Lawson,0.6,,0.8,4.7,1.5,1.6,0.3,0.5,0.28
42,PHO,Stephen Jackson,0.414,0.333,0.798,31.9,15.1,3.9,3.1,36.1,0.063
43,MIN,Gordon Malone,,,,,,,,,
44,CLE,Cedric Henderson,0.436,0.14,0.715,23.8,7.3,2.9,1.6,3.3,0.026
45,WAS,God Shammgod,0.328,0,0.767,7.3,3.1,0.4,1.8,-0.1,-0.049
46,ORL,Eric Washington,0.402,0.346,0.757,22.1,6.9,2.1,1,0.1,0.002
47,POR,Alvin Williams,0.421,0.313,0.76,27.4,9,2.5,4.1,21.7,0.082
48,WAS,Predrag Drobnjak,0.425,0.34,0.799,19.9,7.9,3.5,0.8,5.6,0.048
49,ATL,Alain Digbeu,,,,,,,,,
50,ATL,Chris Crawford,0.437,0.347,0.824,15.8,6.6,2.2,0.6,6.5,0.078
51,LAL,DeJuan Wheat,0.383,0.39,0.7,9.3,3.3,0.7,1.6,0.5,0.034
52,VAN,C.J. Bruton,,,,,,,,,
53,LAL,Paul Rogers,,,,,,,,,
54,SEA,Mark Blount,0.504,0.359,0.723,23.1,8.2,4.6,0.8,18.8,0.065
55,BOS,Ben Pepper,,,,,,,,,
56,UTA,Nate Erdmann,,,,,,,,,
57,CHI,Roberto Duenas,,,,,,,,, 
