Pk,Tm,Player,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,CHI,Derrick Rose,0.46,0.311,0.816,36.5,20.8,3.8,6.7,30.2,0.135
2,MIA,Michael Beasley,0.45,0.348,0.758,24.9,13.2,4.9,1.3,10.3,0.048
3,MIN,O.J. Mayo,0.433,0.38,0.821,32.3,14.8,3.2,3,19.8,0.066
4,SEA,Russell Westbrook,0.433,0.305,0.816,33.9,20.1,4.9,6.9,42.6,0.136
5,MEM,Kevin Love,0.45,0.364,0.816,32.9,19.2,12.2,2.5,47.8,0.189
6,NYK,Danilo Gallinari,0.417,0.367,0.846,31,14.3,4.6,1.9,23.9,0.127
7,LAC,Eric Gordon,0.439,0.365,0.808,34.2,17.2,2.6,3.2,17.1,0.075
8,MIL,Joe Alexander,0.41,0.34,0.698,11.1,4.2,1.8,0.7,0.5,0.03
9,CHA,D.J. Augustin,0.403,0.375,0.872,24.9,10.2,1.8,4,24,0.106
10,NJN,Brook Lopez,0.51,0,0.79,33.1,18,7.3,1.4,32.1,0.134
11,IND,Jerryd Bayless,0.413,0.354,0.823,20,8.4,1.9,2.9,13.5,0.083
12,SAC,Jason Thompson,0.498,0.037,0.656,26.8,9.8,7,1.1,19.6,0.075
13,POR,Brandon Rush,0.435,0.409,0.718,24.8,8.2,3.3,1.1,9,0.053
14,GSW,Anthony Randolph,0.453,0.241,0.74,15.2,7.1,4.3,0.7,5.8,0.072
15,PHO,Robin Lopez,0.532,0,0.759,20.4,8.1,4.9,0.5,24.1,0.136
16,PHI,Marreese Speights,0.469,0.23,0.771,15.6,7.5,4.3,0.5,15.5,0.111
17,TOR,Roy Hibbert,0.468,0.286,0.74,26.1,11.2,6.8,1.5,28.9,0.114
18,WAS,JaVale McGee,0.541,0.2,0.586,20.3,8.6,5.6,0.4,18.3,0.118
19,CLE,J.J. Hickson,0.509,0,0.636,23.6,10.2,7.2,0.9,19.3,0.092
20,CHA,Alexis Ajinca,0.49,0.324,0.777,11.7,4.3,3,0.4,2.4,0.075
21,NJN,Ryan Anderson,0.427,0.387,0.857,25,12.3,5.6,0.9,30.3,0.16
22,ORL,Courtney Lee,0.452,0.386,0.847,26.5,9.6,2.7,1.5,22.6,0.091
23,UTA,Kosta Koufos,0.532,0,0.615,14.9,5.4,4.5,0.4,14.6,0.133
24,SEA,Serge Ibaka,0.545,0.378,0.732,27.6,11,7.4,0.5,37.2,0.166
25,HOU,Nicolas Batum,0.452,0.369,0.832,30.4,11.5,5,2.7,32.8,0.124
26,SAS,George Hill,0.448,0.371,0.808,27.8,10.7,3,3,36.4,0.145
27,NOH,Darrell Arthur,0.448,0.305,0.759,17.9,6.5,3.7,0.7,8.2,0.068
28,MEM,Donte Greene,0.406,0.304,0.701,16.8,6.1,2.4,0.7,1.5,0.017
29,DET,D.J. White,0.507,0.333,0.72,15.3,5.9,3.2,0.6,3.8,0.087
30,BOS,J.R. Giddens,0.476,0,0.565,6.5,1.9,1.4,0.3,0.1,0.027
31,MIN,Nikola Pekovic,0.532,,0.752,25.5,13,6.9,0.7,18.2,0.146
32,SEA,Walter Sharpe,0.364,0,0,2.5,1,0.4,0,-0.1,-0.131
33,POR,Joey Dorsey,0.504,,0.456,9.9,2.5,3.6,0.5,0.9,0.063
34,MIN,Mario Chalmers,0.426,0.372,0.77,27.5,8.7,2.4,3.8,25.3,0.099
35,LAC,DeAndre Jordan,0.653,0,0.426,24.7,7.4,7.9,0.5,31.7,0.14
36,POR,Omer Asik,0.538,0,0.544,19.6,5.6,7.2,0.6,14,0.12
37,MIL,Luc Mbah a Moute,0.458,0.269,0.677,23.6,6.3,4.9,0.9,17.3,0.086
38,CHA,Kyle Weaver,0.441,0.353,0.736,18.9,5,2.2,1.6,1.5,0.051
39,CHI,Sonny Weems,0.474,0.241,0.717,20.3,7.7,2.5,1.5,0.6,0.01
40,NJN,Chris Douglas-Roberts,0.439,0.327,0.83,20.2,7.3,2.2,1.2,5.3,0.059
41,IND,Nathan Jawai,0.435,0,0.684,9.6,2.8,2.4,0.5,0.2,0.02
42,SAC,Sean Singletary,0.365,0.4,0.857,8.2,2.4,0.9,0.8,0,0.006
43,SAC,Patrick Ewing,0,0,0.75,2.7,0.4,0.3,0.3,-0.1,-0.158
44,UTA,Ante Tomic,,,,,,,,,
45,SAS,Goran Dragic,0.461,0.364,0.75,24.7,11.5,2.5,4.5,25.6,0.115
46,SEA,Trent Plaisted,,,,,,,,,
47,WAS,Bill Walker,0.471,0.379,0.757,15.2,5.8,2,0.8,4.5,0.09
48,PHO,Malik Hairston,0.512,0.167,0.514,7.6,2.4,1.2,0.5,0.8,0.086
49,GSW,Richard Hendrix,,,,,,,,,
50,SEA,DeVon Hardin,,,,,,,,,
51,DAL,Shan Foster,,,,,,,,,
52,MIA,Darnell Jackson,0.449,0.235,0.644,7.5,2.2,1.5,0.2,1.3,0.059
53,UTA,Tadija Dragicevic,,,,,,,,,
54,HOU,Maarty Leunen,,,,,,,,,
55,POR,Mike Taylor,0.412,0.325,0.691,15.1,5.7,1.7,2.1,-0.4,-0.028
56,SEA,Sasha Kaun,,,,,,,,,
57,SAS,James Gist,,,,,,,,,
58,LAL,Joe Crawford,0.3,0.25,1,11.5,4.5,2,0.5,0,0.037
59,DET,Deron Washington,,,,,,,,,
60,BOS,Semih Erden,0.546,,0.594,13.4,3.8,2.8,0.4,1.8,0.094
