Pk,Tm,Player,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,LAC,Blake Griffin,0.527,0.243,0.645,35.6,21.4,10.1,3.7,42.4,0.181
2,MEM,Hasheem Thabeet,0.567,,0.578,10.5,2.2,2.7,0.1,4.8,0.099
3,OKC,James Harden,0.443,0.367,0.851,31.5,18.1,4,4,48.4,0.195
4,SAC,Tyreke Evans,0.445,0.276,0.765,33.4,16.8,4.8,4.9,17.4,0.074
5,MIN,Ricky Rubio,0.37,0.322,0.798,31.8,10.1,4.2,8.2,11.1,0.091
6,MIN,Jonny Flynn,0.4,0.338,0.809,22.9,9.2,1.9,3.9,-1.1,-0.015
7,GSW,Stephen Curry,0.467,0.438,0.899,35.5,20.4,4.1,6.7,39.5,0.155
8,NYK,Jordan Hill,0.512,0,0.683,16.9,6.9,5.4,0.6,11,0.117
9,TOR,DeMar DeRozan,0.445,0.266,0.815,33.3,16.8,3.7,2.2,22.4,0.082
10,MIL,Brandon Jennings,0.391,0.351,0.799,34.3,16.6,3.3,6.1,24.1,0.089
11,NJN,Terrence Williams,0.412,0.317,0.659,19.1,7.1,3.6,2.4,-0.2,-0.004
12,CHA,Gerald Henderson,0.444,0.296,0.784,26.9,11.8,3.3,2,10.8,0.061
13,IND,Tyler Hansbrough,0.432,0,0.751,18.8,8,4.7,0.5,16.4,0.131
14,PHO,Earl Clark,0.404,0.331,0.671,14.1,4.4,3,0.5,2.9,0.04
15,DET,Austin Daye,0.403,0.348,0.777,14.5,5.3,2.6,0.7,4.3,0.053
16,CHI,James Johnson,0.451,0.265,0.717,18.4,6.5,3.2,1.6,7.3,0.068
17,PHI,Jrue Holiday,0.438,0.373,0.787,33,13.5,3.6,6,16.6,0.071
18,MIN,Ty Lawson,0.474,0.376,0.781,30.2,14.1,2.9,6,31.5,0.144
19,ATL,Jeff Teague,0.447,0.339,0.829,24.9,10.7,2,4.7,20.2,0.104
20,UTA,Eric Maynor,0.392,0.35,0.721,14.6,4.3,1.3,2.8,3.3,0.041
21,NOH,Darren Collison,0.463,0.36,0.858,28.8,12,2.7,4.9,23.5,0.102
22,POR,Victor Claver,0.394,0.267,0.585,14.2,3.3,2.3,0.8,0.1,0.005
23,SAC,Omri Casspi,0.423,0.35,0.677,20.5,7.7,3.8,1.1,9.8,0.068
24,DAL,Byron Mullens,0.408,0.319,0.706,18.2,7.4,4.2,0.8,0.6,0.008
25,OKC,Rodrigue Beaubois,0.439,0.325,0.81,15.9,7.1,1.9,2.1,4.8,0.079
26,CHI,Taj Gibson,0.486,0.053,0.684,24.4,9.2,6.2,0.9,24.3,0.126
27,MEM,DeMarre Carroll,0.451,0.349,0.753,19.2,6.4,3.3,1,10.6,0.105
28,MIN,Wayne Ellington,0.42,0.385,0.854,18,6.4,1.9,1,5.6,0.047
29,LAL,Toney Douglas,0.405,0.353,0.824,19.1,7.8,2.2,2.2,9,0.076
30,CLE,Christian Eyenga,0.411,0.277,0.611,20.6,6.3,2.7,0.8,-0.4,-0.02
31,SAC,Jeff Pendergraph,0.544,0.5,0.776,10.8,3.1,2.9,0.5,5,0.128
32,WAS,Jermaine Taylor,0.441,0.284,0.73,12.1,5.4,1.7,0.7,0.2,0.014
33,POR,Dante Cunningham,0.475,0.036,0.648,19.4,6.2,3.9,0.7,13.8,0.093
34,DEN,Sergio Llull,,,,,,,,,
35,DET,DaJuan Summers,0.384,0.367,0.642,9.9,3.3,1,0.3,-0.1,-0.008
36,MEM,Sam Young,0.442,0.28,0.742,15.9,5.8,2.3,0.7,5.2,0.063
37,SAS,DeJuan Blair,0.529,0,0.612,18.1,7.5,5.5,0.9,19,0.137
38,POR,Jon Brockman,0.488,0,0.618,10.5,2.1,3.1,0.3,3.7,0.113
39,DET,Jonas Jerebko,0.472,0.33,0.754,20.6,7.5,4.4,0.7,11.5,0.102
40,CHA,Derrick Brown,0.515,0.317,0.637,14.9,5.2,2.4,0.7,4.5,0.085
41,MIL,Jodie Meeks,0.424,0.376,0.875,24.3,9.7,2.2,1.1,17.6,0.098
42,LAL,Patrick Beverley,0.417,0.371,0.801,25.6,8.3,3.2,2.8,6.7,0.127
43,MIA,Marcus Thornton,0.431,0.36,0.827,25.9,13.3,3,1.5,16.6,0.089
44,DET,Chase Budinger,0.426,0.356,0.804,20.8,8.9,3.2,1.2,11,0.091
45,MIN,Nick Calathes,0.457,0.311,0.611,16.5,4.9,1.9,2.9,1.5,0.062
46,CLE,Danny Green,0.439,0.417,0.813,23.2,8.8,3,1.4,15.2,0.126
47,MIN,Henk Norel,,,,,,,,,
48,PHO,Taylor Griffin,0.4,0,0.5,4,1.3,0.3,0.1,0,-0.039
49,ATL,Sergiy Gladyr,,,,,,,,,
50,UTA,Goran Suton,,,,,,,,,
51,SAS,Jack McClinton,,,,,,,,,
52,IND,A.J. Price,0.383,0.322,0.747,15.4,6,1.5,2.2,4.6,0.06
53,SAS,Nando De Colo,0.429,0.363,0.835,11.9,3.8,1.8,1.7,2.4,0.081
54,CHA,Robert Vaden,,,,,,,,,
55,POR,Patrick Mills,0.454,0.406,0.847,14.3,7.3,1.3,1.6,8.6,0.127
56,DAL,Ahmad Nivins,,,,,,,,,
57,PHO,Emir Preldzic,,,,,,,,,
58,BOS,Lester Hudson,0.372,0.263,0.81,10.3,4.8,1.3,1.3,0,0.003
59,LAL,Chinemelu Elonu,,,,,,,,,
60,MIA,Robert Dozier,,,,,,,,, 
