Pk,Tm,Player,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,CLE,Kyrie Irving,0.447,0.378,0.862,33.9,20.7,3.7,5.8,16.7,0.126
2,MIN,Derrick Williams,0.423,0.294,0.708,22.8,9.4,4.7,0.6,7.3,0.068
3,UTA,Enes Kanter,0.507,0.333,0.736,19.2,8.5,5.5,0.5,6.5,0.072
4,CLE,Tristan Thompson,0.474,0,0.632,29.3,10.7,8.5,0.9,12.5,0.089
5,TOR,Jonas Valanciunas,0.537,0,0.775,26.1,10.3,7.6,0.7,11.3,0.137
6,WAS,Jan Vesely,0.521,0,0.408,15.2,3.6,3.5,0.6,4,0.078
7,SAC,Bismack Biyombo,0.486,,0.505,21.3,4.2,6,0.3,5.1,0.052
8,DET,Brandon Knight,0.416,0.357,0.777,32.4,14.8,3.4,4.3,6,0.04
9,CHA,Kemba Walker,0.398,0.322,0.806,32.9,16,3.7,5.4,10.9,0.07
10,MIL,Jimmer Fredette,0.415,0.397,0.859,14.6,6.7,1.1,1.5,2.1,0.038
11,GSW,Klay Thompson,0.436,0.412,0.831,32.4,16.3,3.1,2.2,13.7,0.086
12,UTA,Alec Burks,0.441,0.349,0.745,21.8,10,2.7,1.8,5.9,0.062
13,PHO,Markieff Morris,0.443,0.333,0.761,23.3,10.1,5.2,1.4,10.2,0.09
14,HOU,Marcus Morris,0.427,0.365,0.685,20,8.2,3.5,0.9,6.2,0.08
15,IND,Kawhi Leonard,0.502,0.373,0.81,28.1,10.9,5.8,1.6,20.2,0.178
16,PHI,Nikola Vucevic,0.505,0.385,0.702,28.4,11.7,9.8,1.6,12.6,0.109
17,NYK,Iman Shumpert,0.399,0.352,0.772,26.3,8,3.6,2.1,7.1,0.069
18,WAS,Chris Singleton,0.376,0.319,0.633,17.6,4.1,3.2,0.6,2.3,0.042
19,CHA,Tobias Harris,0.458,0.286,0.789,23.7,11.1,5.3,1.1,7.6,0.093
20,MIN,Donatas Motiejunas,0.444,0.267,0.627,14.5,5.6,3.1,0.7,2.5,0.072
21,POR,Nolan Smith,0.371,0.26,0.714,9.9,3.3,1,1.2,-0.8,-0.047
22,DEN,Kenneth Faried,0.55,0,0.646,26.5,12.1,8.6,1,19.2,0.163
23,HOU,Nikola Mirotic,0.318,0.417,0.9,12.1,3.1,3,0.8,0.2,0.084
24,OKC,Reggie Jackson,0.431,0.292,0.875,20,8.4,2.8,2.8,8.2,0.098
25,BOS,MarShon Brooks,0.442,0.326,0.748,17.5,7.7,2.2,1.4,2.5,0.041
26,DAL,Jordan Hamilton,0.406,0.358,0.671,13.3,5.8,2.8,0.8,2.7,0.077
27,NJN,JaJuan Johnson,0.446,,0.667,8.3,3.2,1.6,0.2,0.2,0.032
28,CHI,Norris Cole,0.411,0.332,0.736,21.5,6.3,1.7,2.4,2.2,0.02
29,SAS,Cory Joseph,0.455,0.274,0.797,12.9,4.4,1.5,1.6,4.2,0.118
30,CHI,Jimmy Butler,0.431,0.313,0.782,27.1,9.2,3.8,1.7,16.5,0.148
31,MIA,Bojan Bogdanovic,0.471,0.355,1,29.4,10.4,2.6,1.3,0.4,0.072
32,CLE,Justin Harper,0.29,0.154,0,6,1.4,0.9,0.1,-0.3,-0.145
33,DET,Kyle Singler,0.435,0.366,0.816,28,8.9,3.8,0.9,6.6,0.066
34,WAS,Shelvin Mack,0.415,0.327,0.778,15.7,5.3,1.7,2.8,3.4,0.06
35,SAC,Tyler Honeycutt,0.314,0.2,0.714,5,1.2,1,0.4,-0.1,-0.049
36,NJN,Jordan Williams,0.507,,0.652,14.8,4.6,3.6,0.3,1.3,0.101
37,LAC,Trey Thompkins,0.393,0.308,0.714,5,2.4,1,0.1,0,0.004
38,HOU,Chandler Parsons,0.469,0.368,0.712,34.4,14.1,5.2,3.2,18.6,0.117
39,CHA,Jeremy Tyler,0.45,0,0.557,9.9,3.6,2.6,0.2,0.3,0.014
40,MIL,Jon Leuer,0.487,0.419,0.723,11.3,4.5,2.6,0.4,3.6,0.116
41,LAL,Darius Morris,0.399,0.354,0.653,12.4,3.7,1.1,1.5,0.1,0.005
42,IND,Davis Bertans,,,,,,,,,
43,CHI,Malcolm Lee,0.385,0.294,0.703,15.2,4,1.9,1.5,0.5,0.043
44,GSW,Charles Jenkins,0.434,0.182,0.754,12.1,3.7,0.9,1.9,0.5,0.017
45,NOH,Josh Harrellson,0.438,0.347,0.629,11.8,3.5,3,0.3,2.1,0.116
46,LAL,Andrew Goudelock,0.386,0.373,0.917,10.4,4.3,0.8,0.5,0.1,0.008
47,LAC,Travis Leslie,0.357,,0.444,4.5,1.4,0.9,0.5,0.1,0.06
48,ATL,Keith Benson,0,,,3,0,1,0,0,-0.005
49,MEM,Josh Selby,0.33,0.143,0.72,7.8,2.2,0.5,0.9,-0.7,-0.113
50,PHI,Lavoy Allen,0.458,0.143,0.711,18.5,5.1,4.9,1,6.4,0.086
51,POR,Jon Diebler,,,,,,,,,
52,DET,Vernon Macklin,0.543,,0.571,5.9,2,1.5,0.2,0.5,0.161
53,ORL,DeAndre Liggins,0.466,0.304,0.486,7.1,1.6,1.2,0.4,0.6,0.071
54,CLE,Milan Macvan,,,,,,,,,
55,BOS,E'Twaun Moore,0.407,0.349,0.791,18,6.1,1.7,1.8,2.2,0.029
56,LAL,Chukwudiebere Maduabum,,,,,,,,,
57,DAL,Targuy Ngombo,,,,,,,,,
58,LAL,Ater Majok,,,,,,,,,
59,SAS,Adam Hanga,,,,,,,,,
60,SAC,Isaiah Thomas,0.448,0.358,0.856,28.9,15.4,2.5,4.8,18.1,0.134
