Pk,Tm,Player,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,PHI,Allen Iverson,0.425,0.313,0.78,41.1,26.7,3.7,6.2,99,0.126
2,TOR,Marcus Camby,0.466,0.205,0.67,29.5,9.5,9.8,1.9,81.6,0.137
3,VAN,Shareef Abdur-Rahim,0.472,0.297,0.81,34.8,18.1,7.5,2.5,71.2,0.118
4,MIL,Stephon Marbury,0.433,0.325,0.784,37.7,19.3,3,7.6,77.5,0.117
5,MIN,Ray Allen,0.452,0.4,0.894,35.6,18.9,4.1,3.4,145.1,0.15
6,BOS,Antoine Walker,0.414,0.325,0.633,35.3,17.5,7.7,3.5,38.1,0.058
7,LAC,Lorenzen Wright,0.459,0.069,0.645,23.8,8,6.4,0.8,30.5,0.079
8,NJN,Kerry Kittles,0.439,0.378,0.78,33.4,14.1,3.9,2.6,44.8,0.127
9,DAL,Samaki Walker,0.462,0.111,0.63,17.1,5.3,4.7,0.6,14.2,0.089
10,IND,Erick Dampier,0.498,0.125,0.626,24.3,7.4,7.1,0.8,52.7,0.105
11,GSW,Todd Fuller,0.422,0,0.668,11.1,3.7,3,0.2,2.2,0.041
12,CLE,Vitaly Potapenko,0.479,0.167,0.694,19,6.5,4.5,0.7,15.5,0.064
13,CHH,Kobe Bryant,0.453,0.335,0.838,36.6,25.5,5.3,4.8,173.1,0.181
14,SAC,Peja Stojakovic,0.45,0.401,0.895,33.5,17,4.7,1.8,82.6,0.147
15,PHO,Steve Nash,0.49,0.428,0.904,31.3,14.3,3,8.5,129.7,0.164
16,CHH,Tony Delk,0.408,0.343,0.769,21.5,9.1,2.5,1.9,19.5,0.08
17,POR,Jermaine O'Neal,0.467,0.147,0.715,27.1,13.2,7.2,1.4,66,0.116
18,NYK,John Wallace,0.462,0.3,0.74,16.1,7.6,2.8,0.7,6.4,0.05
19,NYK,Walter McCarty,0.392,0.346,0.698,17.5,5.2,2.6,1.1,13.7,0.064
20,CLE,Zydrunas Ilgauskas,0.476,0.31,0.78,27.2,13,7.3,1.1,66.3,0.139
21,NYK,Dontae' Jones,0.333,0.261,,6.1,2.9,0.6,0.3,-0.3,-0.175
22,VAN,Roy Rogers,0.483,0.5,0.532,16.9,4.8,3.5,0.4,1.7,0.035
23,DEN,Efthimi Rentzias,0.339,0.5,0.889,4.1,1.5,0.7,0.2,0.2,0.058
24,LAL,Derek Fisher,0.399,0.374,0.817,25.4,8.3,2.1,3,62.3,0.091
25,UTA,Martin Muursepp,0.425,0.323,0.693,11.5,4.7,2.2,0.6,2,0.1
26,DET,Jerome Williams,0.502,0.038,0.645,21.7,6.6,6.4,0.8,37.9,0.143
27,ORL,Brian Evans,0.381,0.343,0.82,10.8,3.7,1.6,0.8,1.7,0.076
28,ATL,Priest Lauderdale,0.472,0,0.554,7.1,3.4,1.9,0.4,-0.8,-0.074
29,CHI,Travis Knight,0.438,0.259,0.696,12.3,3.4,3.1,0.6,7.9,0.083
30,HOU,Othella Harrington,0.505,0,0.738,19.6,7.4,4.4,0.6,23.1,0.08
31,PHI,Mark Hendrickson,0.416,0.167,0.803,13.2,3.3,2.8,0.6,2.1,0.067
32,PHI,Ryan Minor,,,,,,,,,
33,MIL,Moochie Norris,0.401,0.286,0.74,17.2,5.1,2,2.8,10,0.063
34,DAL,Shawn Harvey,,,,,,,,,
35,SEA,Joseph Blair,,,,,,,,,
36,LAC,Doron Sheffer,,,,,,,,,
37,DEN,Jeff McInnis,0.431,0.328,0.796,27.7,9.4,2,4.4,23.1,0.07
38,BOS,Steve Hamer,0.526,0,0.552,7.7,2.2,1.7,0.2,0.2,0.031
39,PHO,Russ Millard,,,,,,,,,
40,GSW,Marcus Mann,,,,,,,,,
41,SAC,Jason Sasser,0.412,0.333,0.5,7.7,2.1,1.1,0.3,0,-0.014
42,HOU,Randy Livingston,0.406,0.351,0.771,13.2,3.8,1.4,2,2.3,0.041
43,PHO,Ben Davis,0.356,,0.462,3.9,1.4,1.3,0.1,0.1,0.04
44,CHH,Malik Rose,0.437,0.177,0.743,16.5,6.2,4.1,0.8,26.5,0.095
45,SEA,Joe Vogel,,,,,,,,,
46,POR,Marcus Brown,0.381,0.333,0.714,8.5,3.4,0.8,0.9,0.3,0.066
47,SEA,Ron Riley,,,,,,,,,
48,PHI,Jamie Feick,0.424,0.4,0.629,21.5,4.5,7.1,0.7,8.2,0.091
49,ORL,Amal McCaskill,0.377,0,0.609,8.5,1.8,1.9,0.3,0.5,0.024
50,HOU,Terrell Bell,,,,,,,,,
51,VAN,Chris Robinson,0.376,0.374,0.571,14.4,4.6,1.5,1.4,-0.1,-0.003
52,IND,Mark Pope,0.401,0.179,0.573,10.7,1.9,1.7,0.4,1.3,0.038
53,MIL,Jeff Nordgaard,0.278,,0.889,3.7,1.4,1.1,0.2,0,0.043
54,UTA,Shandon Anderson,0.457,0.316,0.739,22.2,7.4,3.1,1.4,23.6,0.071
55,WSB,Ronnie Henderson,,,,,,,,,
56,CLE,Reggie Geary,0.344,0.328,0.493,9.2,2.1,0.8,1.1,0.6,0.032
57,SEA,Drew Barry,0.417,0.381,0.774,10,2.2,1.1,1.9,0.6,0.051
58,DAL,Darnell Robinson,,,,,,,,, 
