Pk,Tm,Player,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,ORL,Chris Webber,0.479,0.299,0.649,37.1,20.7,9.8,4.2,84.7,0.132
2,PHI,Shawn Bradley,0.457,0.103,0.716,23.5,8.1,6.3,0.7,40.7,0.1
3,GSW,Anfernee Hardaway,0.458,0.316,0.774,33.7,15.2,4.5,5,61.9,0.125
4,DAL,Jamal Mashburn,0.418,0.345,0.766,37.3,19.1,5.4,4,43.7,0.092
5,MIN,Isaiah Rider,0.443,0.352,0.812,31.7,16.7,3.8,2.7,22.8,0.061
6,WSB,Calbert Cheaney,0.466,0.298,0.691,26.7,9.5,3.2,1.7,23.1,0.05
7,SAC,Bobby Hurley,0.353,0.272,0.769,15.5,3.8,1.1,3.3,-1.2,-0.014
8,MIL,Vin Baker,0.485,0.215,0.638,32.5,15,7.4,1.9,47,0.088
9,DEN,Rodney Rogers,0.451,0.347,0.69,25.3,10.9,4.5,2,38.8,0.085
10,DET,Lindsey Hunter,0.388,0.36,0.746,24.8,8.5,2.2,2.7,32.9,0.068
11,DET,Allan Houston,0.444,0.402,0.863,33.7,17.3,2.9,2.4,55.3,0.094
12,LAL,George Lynch,0.446,0.306,0.652,22.8,6.6,5,1.4,32.3,0.088
13,LAC,Terry Dehere,0.411,0.378,0.779,18.2,8,1.5,2.6,7.3,0.048
14,IND,Scott Haskin,0.467,,0.684,6.9,2,2,0.2,0.3,0.087
15,ATL,Doug Edwards,0.378,0,0.709,9.9,2.4,1.8,0.7,0.2,0.013
16,NJN,Rex Walters,0.441,0.361,0.809,13.7,4.6,1.2,1.7,6.3,0.066
17,CHH,Greg Graham,0.407,0.29,0.775,12.2,4.5,1.1,1,1.3,0.025
18,UTA,Luther Wright,0.348,0,0.75,6.1,1.3,0.7,0,-0.1,-0.064
19,BOS,Acie Earl,0.403,0,0.667,13,5.1,2.7,0.3,0.3,0.005
20,CHH,Scott Burrell,0.418,0.373,0.723,19.8,6.9,3.5,1.4,16.4,0.104
21,POR,James Robinson,0.394,0.348,0.666,18.2,7.6,1.7,1.9,5.8,0.04
22,CLE,Chris Mills,0.432,0.351,0.817,30.4,11.2,4.9,1.9,37.7,0.105
23,SEA,Ervin Johnson,0.505,0.2,0.605,20.1,4.1,6.1,0.5,37.8,0.107
24,HOU,Sam Cassell,0.454,0.331,0.861,30,15.7,3.2,6,87.5,0.141
25,CHI,Corie Blount,0.471,0.115,0.587,15.4,3.6,4.2,0.7,18.2,0.088
26,ORL,Geert Hammink,0.4,,0.667,3.4,1.8,0.9,0.3,0.1,0.089
27,PHO,Malcolm Mackey,0.378,0,0.5,3.1,1.5,1.1,0,0.1,0.036
28,DAL,Lucious Harris,0.426,0.348,0.79,19.6,7.2,2.3,1.4,28.7,0.088
29,MIN,Sherron Mills,,,,,,,,,
30,WSB,Gheorghe Muresan,0.573,0,0.644,21.9,9.8,6.4,0.5,19,0.136
31,SAC,Evers Burns,0.4,,0.522,6.2,2.4,1.3,0.4,0.1,0.02
32,PHI,Alphonso Ford,0.308,0.1,0.5,10.4,3.2,1.8,0.9,-0.4,-0.153
33,DAL,Eric Riley,0.456,0,0.704,9.9,3.1,2.6,0.3,2.5,0.066
34,GSW,Darnell Mee,0.312,0.222,0.444,7.3,1.9,0.9,0.5,-0.1,-0.02
35,MIA,Ed Stokes,0.333,,0.5,4.3,0.8,1,0.3,0,-0.077
36,NJN,John Best,,,,,,,,,
37,LAL,Nick Van Exel,0.405,0.357,0.794,32.9,14.4,2.9,6.6,55.9,0.093
38,WSB,Conrad McRae,,,,,,,,,
39,IND,Thomas Hill,,,,,,,,,
40,ATL,Rich Manning,0.415,0.4,0.643,9.3,3.3,1.7,0.2,-0.3,-0.028
41,CHI,Anthony Reed,,,,,,,,,
42,SEA,Adonis Jordan,0.296,0.25,0.5,9.7,2.1,0.6,2.2,0,-0.015
43,DEN,Josh Grant,0.404,0.279,0.759,7.2,3,1.7,0.5,0.5,0.06
44,SAC,Alex Holcombe,,,,,,,,,
45,UTA,Bryon Russell,0.431,0.369,0.75,23.5,7.9,3.5,1.3,47.4,0.115
46,HOU,Richard Petruska,0.435,0.467,0.75,4.2,2.4,1.4,0,0,-0.014
47,SAS,Chris Whitney,0.395,0.361,0.875,17.4,6.5,1.4,2.8,21.2,0.101
48,POR,Kevin Thompson,0.429,0,0.5,4.1,0.9,0.9,0.2,0,-0.016
49,PHO,Mark Buford,,,,,,,,,
50,HOU,Marcelo Nicola,,,,,,,,,
51,IND,Spencer Dunkley,,,,,,,,,
52,SAC,Mike Peplowski,0.556,0,0.531,10.4,2.9,2.6,0.4,1,0.067
53,LAC,Leonard White,,,,,,,,,
54,PHO,Byron Wilson,,,,,,,,, 
