Pk,Tm,Player,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,CHH,Larry Johnson,0.484,0.332,0.766,36.3,16.2,7.5,3.3,69.7,0.13
2,NJN,Kenny Anderson,0.421,0.346,0.79,30.1,12.6,3.1,6.1,62.5,0.116
3,SAC,Billy Owens,0.481,0.291,0.629,29.4,11.7,6.7,2.8,28.6,0.078
4,DEN,Dikembe Mutombo,0.518,0,0.684,30.8,9.8,10.3,1,117,0.153
5,MIA,Steve Smith,0.44,0.358,0.845,30.6,14.3,3.2,3.1,83.7,0.139
6,DAL,Doug Smith,0.425,0.083,0.773,19.7,8,4.2,1.4,3,0.024
7,MIN,Luc Longley,0.462,0,0.76,21.2,7.2,4.9,1.5,17.5,0.07
8,DEN,Mark Macon,0.384,0.27,0.735,20,6.7,1.9,1.7,0.1,0.001
9,ATL,Stacey Augmon,0.469,0.152,0.728,21.6,8,3.2,1.6,43.8,0.097
10,ORL,Bison Dele,0.528,0.143,0.691,24.2,11,6.2,1.1,22.8,0.109
11,CLE,Terrell Brandon,0.448,0.355,0.873,29.8,13.8,3,6.1,65.9,0.147
12,NYK,Greg Anthony,0.403,0.349,0.733,20.9,7.3,1.9,4,35.9,0.109
13,IND,Dale Davis,0.53,0,0.562,27.1,8,7.9,0.9,86.9,0.141
14,SEA,Rich King,0.393,0,0.662,4.3,1.9,1,0.3,0.2,0.036
15,ATL,Anthony Avent,0.403,0,0.686,19.1,5.6,4.5,0.8,0.3,0.002
16,GSW,Chris Gatling,0.513,0.249,0.66,19.7,10.3,5.3,0.7,32.1,0.112
17,GSW,Victor Alexander,0.518,0.286,0.634,20.1,8.9,4.8,0.9,8.8,0.073
18,MIL,Kevin Brooks,0.401,0.2,0.859,8.2,3.3,1.1,0.4,-0.1,-0.004
19,WSB,LaBradford Smith,0.432,0.298,0.813,17.1,6.7,1.5,2.2,1.5,0.024
20,HOU,John Turner,0.439,,0.525,8.2,2.8,1.9,0.3,-0.1,-0.021
21,UTA,Eric Murdock,0.438,0.343,0.786,23.4,10.1,2.5,4.9,25.6,0.103
22,LAC,LeRon Ellis,0.433,,0.613,9.4,3,2.4,0.3,1.2,0.069
23,ORL,Stanley Roberts,0.499,0,0.514,19.6,8.5,5.2,0.6,8.1,0.066
24,BOS,Rick Fox,0.45,0.349,0.77,25.5,9.6,3.8,2.8,44.7,0.09
25,GSW,Shaun Vandiver,,,,,,,,,
26,CHI,Mark Randall,0.443,0.154,0.722,7,2.6,1.3,0.4,1,0.054
27,SAC,Pete Chilcutt,0.441,0.381,0.696,14.4,4.3,3.3,0.8,10.6,0.06
28,CHH,Kevin Lynch,0.436,0.333,0.726,12,3.3,1.3,1.1,0.4,0.016
29,MIA,George Ackles,,,,,,,,,
30,ATL,Rodney Monroe,0.368,0.222,0.826,8.2,3.4,0.9,0.7,-0.2,-0.035
31,SAC,Randy Brown,0.417,0.2,0.691,17.6,4.8,1.8,2.2,11,0.046
32,PHO,Chad Gallagher,1,,,1.5,3,0,0,0.1,1.442
33,DAL,Donald Hodge,0.437,0.286,0.711,14.1,4.7,3.2,0.8,1.8,0.025
34,MIN,Myron Brown,0.667,0.333,,5.8,2.3,0.8,1.5,0,0.032
35,DAL,Mike Iuzzolino,0.457,0.404,0.798,25,9,2,4.3,3.7,0.058
36,ORL,Chris Corchiani,0.421,0.269,0.816,11.7,3.7,1.2,2.2,1.6,0.058
37,LAC,Elliot Perry,0.459,0.359,0.783,17.3,6.3,1.4,3.1,14,0.071
38,LAC,Joe Wylie,,,,,,,,,
39,CLE,Jimmy Oliver,0.407,0.34,0.772,11,4.2,1,0.7,0.3,0.018
40,DET,Doug Overton,0.412,0.319,0.816,14.6,4.5,1.3,2.1,2.5,0.016
41,IND,Sean Green,0.386,0.246,0.62,8,4.2,1,0.5,-1.3,-0.095
42,SAC,Steve Hood,,,,,,,,,
43,GSW,Lamont Strothers,0.329,0.133,0.714,11.9,4.6,1.2,1.1,-0.5,-0.142
44,PHI,Alvaro Teheran,,,,,,,,,
45,MIL,Bobby Phills,0.443,0.39,0.738,28.7,11,3.1,2.7,27.2,0.097
46,PHO,Richard Dumas,0.509,0.231,0.694,21.8,10.6,3.4,1.1,4.5,0.097
47,HOU,Keith Hughes,,,,,,,,,
48,UTA,Isaac Austin,0.446,0.176,0.67,19.3,7.6,4.7,1.2,9.2,0.053
49,SAS,Greg Sutton,0.396,0.361,0.743,11.6,4.5,0.9,1.7,1,0.024
50,PHO,Joey Wright,,,,,,,,,
51,HOU,Zan Tabak,0.506,0,0.525,14.6,5,3.6,0.7,2.4,0.032
52,LAL,Anthony Jones,,,,,,,,,
53,NJN,Von McDade,,,,,,,,,
54,POR,Marcus Kennedy,,,,,,,,, 
