Pk,Tm,Player,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,MIL,Glenn Robinson,0.459,0.34,0.82,36.8,20.7,6.1,2.7,39.8,0.075
2,DAL,Jason Kidd,0.4,0.349,0.785,36,12.6,6.3,8.7,138.6,0.133
3,DET,Grant Hill,0.483,0.314,0.769,33.9,16.7,6,4.1,99.9,0.138
4,MIN,Donyell Marshall,0.435,0.35,0.731,26.2,11.2,6.7,1.4,59,0.113
5,WSB,Juwan Howard,0.469,0.12,0.764,30.3,13.4,6.1,2.2,59.4,0.078
6,PHI,Sharone Wright,0.456,0.083,0.618,22.3,9.7,5,0.6,1.4,0.015
7,LAC,Lamond Murray,0.43,0.36,0.759,25.1,11.3,4.1,1.3,19.8,0.052
8,SAC,Brian Grant,0.49,0.214,0.746,28.3,10.5,7.4,1.2,54.5,0.122
9,BOS,Eric Montross,0.49,0,0.478,18.2,4.5,4.6,0.4,8.5,0.048
10,LAL,Eddie Jones,0.437,0.373,0.809,34.4,14.8,4,2.9,100.6,0.147
11,SEA,Carlos Rogers,0.536,0.258,0.562,19,7.4,4.3,0.6,11.1,0.095
12,MIA,Khalid Reeves,0.416,0.363,0.744,21.1,7.8,2.1,3.2,8.4,0.069
13,DEN,Jalen Rose,0.443,0.355,0.801,30.3,14.3,3.5,3.8,47.2,0.081
14,NJN,Yinka Dare,0.396,,0.57,9.1,2.1,2.6,0,-0.7,-0.033
15,IND,Eric Piatkowski,0.434,0.399,0.839,18.5,7.5,2.2,1,31,0.102
16,GSW,Clifford Rozier,0.496,0.182,0.465,17.2,4.8,5.2,0.6,3.9,0.063
17,POR,Aaron McKie,0.438,0.35,0.779,24.2,7.4,3.3,2.7,40,0.1
18,MIL,Eric Mobley,0.541,0.75,0.475,13.9,3.9,3.1,0.5,1.1,0.034
19,DAL,Tony Dumas,0.404,0.327,0.608,14.2,7.3,1.3,1.2,1.3,0.027
20,PHI,B.J. Tyler,0.381,0.314,0.7,14.7,3.5,1.1,3.2,-0.7,-0.039
21,CHI,Dickey Simpkins,0.44,0.222,0.618,15.9,4.2,3.6,0.9,4.7,0.044
22,SAS,Bill Curley,0.444,0.222,0.743,11,2.7,2,0.4,1.6,0.047
23,PHO,Wesley Person,0.457,0.418,0.778,28.3,11.2,3.3,1.7,44,0.102
24,NYK,Monty Williams,0.481,0.111,0.665,16.7,6.3,2.8,1.2,11.4,0.072
25,LAC,Greg Minor,0.478,0.226,0.767,18.6,6.9,2.7,1.4,8.2,0.077
26,NYK,Charlie Ward,0.408,0.364,0.771,22.3,6.3,2.6,4,33,0.113
27,ORL,Brooks Thompson,0.409,0.376,0.647,10.2,4.5,0.9,1.7,2,0.057
28,DAL,Deon Thomas,,,,,,,,,
29,PHO,Antonio Lang,0.455,0,0.719,9.8,2.3,1.5,0.3,1.7,0.057
30,MIN,Howard Eisley,0.407,0.35,0.827,20.4,6.5,1.7,3.5,19.5,0.058
31,ORL,Rodney Dent,,,,,,,,,
32,WSB,Jim McIlvaine,0.446,0.1,0.551,14.8,2.7,3.1,0.3,9.4,0.076
33,PHI,Derrick Alston,0.489,0.143,0.487,19.1,5.4,3.8,0.7,2.6,0.047
34,ATL,Gaylon Nickerson,0.333,0,1,10.5,3.8,1.3,0.3,0.1,0.076
35,SAC,Michael Smith,0.538,0.143,0.529,23.5,5.6,7.1,1.5,23.4,0.107
36,BOS,Andrei Fetisov,,,,,,,,,
37,SEA,Dontonio Wingfield,0.389,0.309,0.721,10.1,3.7,2.4,0.7,1.8,0.074
38,CHH,Darrin Hancock,0.53,0.333,0.579,10.5,3.5,1.3,0.7,1.1,0.038
39,GSW,Anthony Miller,0.51,0.25,0.576,9,2.8,2.7,0.4,3.8,0.11
40,MIA,Jeff Webster,0.348,0.333,,5.3,1.6,0.6,0.3,0,-0.03
41,IND,William Njoku,,,,,,,,,
42,CLE,Gary Collier,,,,,,,,,
43,POR,Shawnelle Scott,0.464,,0.465,6,1.8,2.2,0.2,1.3,0.101
44,IND,Damon Bailey,,,,,,,,,
45,GSW,Dwayne Morton,0.388,0.36,0.682,9.6,4.1,1.4,0.4,0.2,0.025
46,MIL,Voshon Lenard,0.415,0.384,0.787,27.2,11.9,2.8,2.1,29.6,0.093
47,UTA,Jamie Watson,0.468,0.316,0.694,12.2,3.2,1.5,1.1,1.2,0.045
48,DET,Jevon Crudup,,,,,,,,,
49,CHI,Kris Bruton,,,,,,,,,
50,PHO,Charles Claxton,0.5,,0,2.3,0.7,0.7,0,0,-0.179
51,SAC,Lawrence Funderburke,0.506,0.118,0.675,14.9,6.4,3.6,0.6,12.9,0.131
52,PHO,Anthony Goldwire,0.407,0.386,0.792,18.6,6.3,1.3,2.8,6.4,0.062
53,HOU,Albert Burditt,,,,,,,,,
54,SEA,Zeljko Rebraca,0.527,,0.792,15.3,5.9,3.2,0.4,8.3,0.121
